Número do processo - SIPAC/SIGAA,Título da atividade,Nome do (a) Coordenador (a) da atividade,Local de lotação do (a) Coordenador (a),Data de início da atividade,Data de termino da atividade,Relatório Final,Receita (Prevista),Receita (Realizada)
EV147-2024,Semana de Profissões do Instituto de Física e Química.,GEISE RIBEIRO,INSTITUTO DE FÍSICA E QUÍMICA,21/11/24,19/12/24,PENDENTE,"R$0,00",
EV148-2024,Visita técnica na empresa Serra Verde,DALVA MARIA DE CASTRO,INSTITUTO DE ENGENHARIAS INTEGRADAS,11/11/24,30/11/24,PENDENTE,"R$0,00",
EV149-2024,"Peça Teatral ""Recortes: a mulher e o seu corpo público""",ANDREIA TEIXEIRA,PRÓ-REITORIA DE GRADUAÇÃO,06/12/24,06/12/24,PENDENTE,"R$0,00",
EV150-2024,Visita técnica ao prédio em construção da Unifei,TABATA NAKAGOMI FERNANDES PEREIRA,INSTITUTO DE ENGENHARIAS INTEGRADAS,09/12/24,16/12/24,PENDENTE,"R$0,00",
EV151-2024,TrilhaZ de portas abertas 2024,PAULO CEZAR NUNES JUNIOR,INSTITUTO DE FÍSICA E QUÍMICA,02/12/24,14/12/24,PENDENTE,"R$0,00",
EV152-2024,IX Café Ambiental.,GLAUCIO MARCELINO MARQUES,COORDENAÇÃO DE CURSO DE GRADUAÇÃO - ENGENHARIA AMBIENTAL - CI,11/09/24,08/11/24,SIM,"R$0,00",
EV153-2024,Lazer Diferente para Crianças da Zona Rural  ,JENIFFER DE NADAE,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,18/12/24,31/12/24,PENDENTE,"R$0,00",
EV154-2024,Mesa Solidária,ELIANA DE FATIMA SOUZA SALOMON,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,15/12/24,16/12/24,PENDENTE,"R$0,00",
PJ157-2024,Encontro Regional de Engenharia e Desenvolvimento Social: Engenharia Popular - Uma pedra no caminho do subdesenvolvimento,LEONARDO FERREIRA REIS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,23/07/24,31/12/24,PENDENTE,"R$0,00",
PJ179-2024,Podcast Saberes e Prosa: diálogos entre o popular e o científico.,DANIELA ROCHA TEIXEIRA RIONDET COSTA,INSTITUTO DE RECURSOS NATURAIS,01/08/24,31/12/24,PENDENTE,"R$0,00",
PJ182-2024,"Educação ambiental, Agricultura Responsável e Preservação do Meio Ambiente   para um futuro verde",DANIEL CLEMENTE VIEIRA REGO DA SILVA,INSTITUTO DE RECURSOS NATURAIS,01/07/24,31/12/24,PENDENTE,"R$0,00",
PJ190-2024,"Alegrai-vos: convivência, espiritualidade e formação de liderança    ",CLEIDE BEATRIZ GOMES DOS REIS,DIRETORIA DO CAMPUS DE ITABIRA,10/07/24,31/12/24,PENDENTE,"R$0,00",
PJ191-2024,Boletins mensais informativos do monitoramento da qualidade do ar em Itabira/MG (Fluxo Contínuo - Renovação 2ºsem2024),ANA CAROLINA VASQUES FREITAS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,01/08/24,31/12/24,PENDENTE,"R$0,00",
PJ192-2024,Implantação de processo de Planejamento e Controle da Produção em uma empresa de equipamentos de liofilização,FABIO FAVARETTO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,05/08/24,22/11/24,PENDENTE,"R$0,00",
PJ193-2024,Implantação do sistema de monitoramento hidráulico/hidrológico do Ribeirão José  Pereira,ALEXANDRE AUGUSTO BARBOSA,INSTITUTO DE RECURSOS NATURAIS,11/07/24,31/12/24,PENDENTE,"R$0,00",
PJ194-2024,Centro de Empreendedorismo UNIFEI - Campus Itabira 2024,GIOVANI BERNARDES VITOR,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,01/08/24,31/12/24,PENDENTE,"R$0,00",
PJ195-2024,Avaliação Numérica da Combustão Dual Fuel com Hidrogênio em Motores de Combustão Interna,FAGNER LUIS GOULART DIAS,INSTITUTO DE ENGENHARIA MECÂNICA,01/08/24,31/12/24,PENDENTE,"R$14.750,00",
PJ196-2024,Estudo de atribuição da variabilidade em baixa frequência dos ventos no interior do Estado da Bahia  ,MICHELLE SIMOES REBOITA,INSTITUTO DE RECURSOS NATURAIS,29/07/24,31/12/24,PENDENTE,"R$42.826,27",
PJ197-2024,Orientação em pesquisas desenvolvidas pelos alunos dos Cursos de Especialização em Gestão Estratégica e Políticas Públicas (CGEPP) e Gestão e Proteção e Defesa Civil (CEGEDEC) do Corpo de Bombeiros Militar do Estado de Minas Gerais (CBMMG).,LUCIANA DE MELO GOMIDES,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,15/07/24,01/10/24,SIM,"R$2.987,00","R$2.987,00"
PJ198-2024,Serviços do Laboratorio LIMAv,FRANCISCO MOURA FILHO,INSTITUTO DE ENGENHARIAS INTEGRADAS,01/08/24,31/12/24,PENDENTE,"R$80.000,00",
PJ199-2024,"Engenheiros de Materiais: o que são, o que fazem e onde habitam",MARILIA SONEGO,INSTITUTO DE ENGENHARIA MECÂNICA,12/08/24,31/12/24,PENDENTE,"R$0,00",
PJ200-2024,A ciência na cozinha: empreendedorismo feminino em um universo doce,PALOMA ALINNE ALVES RODRIGUES,INSTITUTO DE FÍSICA E QUÍMICA,08/07/24,31/12/24,PENDENTE,"R$0,00",
PJ201-2024,Divulga AMAN-TI-KYR,MARCIA DE SOUZA LUZ FREITAS,INSTITUTO DE FÍSICA E QUÍMICA,08/07/24,31/12/24,PENDENTE,"R$7.000,00",
PJ202-2024,Empodera Tech: Inclusão Socioprodutiva para Estudantes Universitárias Negras e 40+ em Negócios Tecnológicos  ,LILIAN BARROS PEREIRA CAMPOS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,01/08/24,31/12/24,PENDENTE,"R$7.000,00",
PJ203-2024,Mulheres para a PAZ: uma semente para a promoção da cultura de paz às mulheres atendidas pela ONG Projeto Alimente,JENIFFER DE NADAE,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,08/07/24,31/12/24,PENDENTE,"R$0,00",
PJ204-2024,Prospecção de negócios de alto impacto,MIRIAN DE LOURDES NORONHA MOTTA MELO,INSTITUTO DE ENGENHARIA MECÂNICA,08/07/24,31/12/24,PENDENTE,"R$0,00",
PJ205-2024,Projetos extensionistas (EPRI6002),TABATA NAKAGOMI FERNANDES PEREIRA,INSTITUTO DE ENGENHARIAS INTEGRADAS,12/08/24,16/12/24,PENDENTE,"R$0,00",
PJ206-2024,Educação para a Sustentabilidade Energética,ELIANE VALENCA NASCIMENTO DE LORENCI,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,01/08/24,31/12/24,PENDENTE,"R$0,00",
PJ207-2024,"Desigualdade Ambiental: Investigação dos Impactos Socioambientais Relacionados a Carência de Tratamento de Esgoto no Bairro Canta Galo em Itajubá, MG",SAMARA CALCADO DE AZEVEDO,INSTITUTO DE RECURSOS NATURAIS,15/08/24,18/12/24,SIM,"R$0,00",
PJ208-2024,Unifei Portas Abertas - UnPAs,MARCIO MARTINS LAGE JUNIOR,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,22/08/24,06/12/24,PENDENTE,"R$0,00",
PJ209-2024,Prestação de serviço (Parte 3) para utilização da infraestrutura do laboratório de motores vinculado ao Centro de H2 Verde (CH2V) - Estudo da combustão do HVO com H2 verde em MCI a ignição por compressão,CHRISTIAN JEREMI CORONADO RODRIGUEZ,INSTITUTO DE ENGENHARIA MECÂNICA,22/08/24,31/10/24,SIM,"R$50.856,44","R$50.856,44"
PJ210-2024,Dimensionamento de Soluções Para a Rua da Grota na Cidade de Itajubá - MG,DANIEL CLEMENTE VIEIRA REGO DA SILVA,INSTITUTO DE RECURSOS NATURAIS,02/09/24,13/12/24,PENDENTE,"R$0,00",
PJ211-2024,Integração Arquitetônica para a Expansão de Espaços Sociais da Paróquia São Benedito,PAULO CESAR GONCALVES,INSTITUTO DE RECURSOS NATURAIS,04/09/24,04/11/24,SIM,"R$0,00",
PJ212-2024,Elaboração de arquivo requerido por modelo de dispersão para processo de licenciamento,VANESSA SILVEIRA BARRETO CARVALHO,INSTITUTO DE RECURSOS NATURAIS,21/08/24,30/08/24,SIM,"R$4.000,00","R$4.000,00"
PJ213-2024,Projeto de um sistema de controle de iluminação para calibração dos instrumentos do Laboratório Nacional de Astrofísica.,DECIO RENNO DE MENDONCA FARIA,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,02/09/24,20/12/24,PENDENTE,"R$0,00",
PJ214-2024,CENTRO DE EMPREENDEDORISMO DA UNIFEI - CEU,MIRIAN DE LOURDES NORONHA MOTTA MELO,INSTITUTO DE ENGENHARIA MECÂNICA,07/08/24,31/12/24,PENDENTE,"R$0,00",
PJ215-2024,Conceito de Metamateriais como inovação na engenharia estrutural e da sustentabilidade ambiental na construção civil,PAULO CESAR GONCALVES,INSTITUTO DE RECURSOS NATURAIS,04/09/24,20/12/24,PENDENTE,"R$0,00",
PJ216-2024,Higiene Ocupacional nas escolas: apresentação de alunos da UNIFEI sobre temas de HO a secundaristas da Escola Estadual Mestre Zeca Amâncio (EEMZA)  ,LEONARDO FERREIRA REIS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,30/08/24,31/12/24,PENDENTE,"R$0,00",
PJ217-2024,Prestação de serviços do Laboratório de Ensaios Destrutivos e Não Destrutivos (LEN)  para empresas privadas.,LEONARDO KYO KABAYAMA,INSTITUTO DE ENGENHARIA MECÂNICA,31/08/24,31/12/24,PENDENTE,"R$30.831,64",
PJ218-2024,UNIFEI Jr. - Controle financeiro da Boutique do Sushi,FABIO FAVARETTO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,09/09/24,11/11/24,PENDENTE,"R$0,00",
PJ219-2024,UNIFEI Jr. - Consultoria estratégica para a empresa Afrodite Roupas,FABIO FAVARETTO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,09/09/24,11/11/24,PENDENTE,"R$0,00",
PJ220-2024,DIA DE PLANTIO - ESCOTEIROS,CARLOS EDUARDO CORREA MOLINA,INSTITUTO DE ENGENHARIA MECÂNICA,13/09/24,30/09/24,SIM,"R$0,00",
PJ221-2024,Levantamento topográfico planialtimétrico em Itajubá,SAMARA CALCADO DE AZEVEDO,INSTITUTO DE RECURSOS NATURAIS,13/09/24,31/10/24,SIM,"R$1.466,66","R$1.466,66"
PJ222-2024,CINEFEI,KARINA ARRUDA ALMEIDA,INSTITUTO DE RECURSOS NATURAIS,09/09/24,31/12/24,PENDENTE,"R$0,00",
PJ223-2024,UNIFEI Jr. - Planejamento de Marketing para a empresa de Radiologia Odontológica Orallis,FABIO FAVARETTO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,09/09/24,11/11/24,PENDENTE,"R$0,00",
PJ224-2024,Experiência compartilhada Unifei Itabira: Engenharia Mecânica,GLAUBER ZERBINI COSTAL,INSTITUTO DE ENGENHARIAS INTEGRADAS,16/09/24,31/12/24,PENDENTE,"R$0,00",
PJ225-2024,Desafio Empresarial - Joyson,JENIFFER DE NADAE,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,23/09/24,13/12/24,SIM,"R$0,00",
PJ226-2024,"A Fauna da Reserva Biológica Municipal da Serra dos Toledos, Itajubá/MG.",DANIELA ROCHA TEIXEIRA RIONDET COSTA,INSTITUTO DE RECURSOS NATURAIS,17/09/24,31/12/24,PENDENTE,"R$0,00",
PJ227-2024,Projeto Desafio Empresarial Joyson: Apuração de Custos Reais por Produtos,LUIZ GUILHERME AZEVEDO MAUAD,COORDENAÇÃO DE CURSO DE GRADUAÇÃO - ADMINISTRAÇÃO,26/09/24,13/12/24,PENDENTE,"R$0,00",
PJ228-2024,Projeto Semestral: Desafio Empresarial VALGROUP,PAULO HENRIQUE DA SILVA CAMPOS,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,25/09/24,12/12/24,SIM,"R$0,00",
PJ229-2024,Desafio EMpresarial (S2 - T02),JOSE HAMILTON CHAVES GORGULHO JUNIOR,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,26/09/24,13/12/24,SIM,"R$0,00",
PJ230-2024,Estudo físico químicos em papeis isolantes tipo Kraft,ROSSANO GIMENES,INSTITUTO DE FÍSICA E QUÍMICA,25/09/24,31/12/24,PENDENTE,"R$29.536,00",
PJ231-2024,Ferramentas para análise e monitoramento de Tecnologia Operacional,OTÁVIO DE SOUZA MARTINS GOMES,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,21/10/24,31/12/24,PENDENTE,"R$0,00",
PJ232-2024,Projeto Árvore dos Sonhos (2024),SANDRA MIRANDA NEVES,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,14/10/24,31/12/24,PENDENTE,"R$0,00",
PJ233-2024,Testes de proficiência em eliminadores de ar/2024,MARCIA VIANA LISBOA MARTINS,INSTITUTO DE RECURSOS NATURAIS,15/09/24,31/12/24,PENDENTE,"R$21.600,00",
PJ234-2024,PLANEJAMENTO URBANO SUSTENTÁVEL DA VILA DE ITAMAMBUCA: MAPEAMENTO E PERCEPÇÕES COMUNITÁRIAS SOBRE MUDANÇAS CLIMÁTICAS,DANIELE ORNAGHI SANT'ANNA,INSTITUTO DE RECURSOS NATURAIS,30/10/24,31/12/24,PENDENTE,"R$0,00",
PJ235-2024,Automação Predial e Equipamentos de Controle para Modernização do Observatório Pico dos Dias,LUIZ LENARTH GABRIEL VERMAAS,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,19/08/24,20/12/24,PENDENTE,"R$0,00",
PJ236-2024,ENGENHARIA DOS PRINCÍPIOS,ANA PAULA SIQUEIRA SILVA DE ALMEIDA,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,15/10/24,10/12/24,PENDENTE,"R$0,00",
PJ237-2024,SEMINÁRIO DE GESTÃO DA ÁGUA EM SITUAÇÃO DE ESCASSEZ E ALTERAÇÕES CLIMÁTICAS,VANESSA SILVEIRA BARRETO CARVALHO,INSTITUTO DE RECURSOS NATURAIS,16/10/24,31/12/24,PENDENTE,"R$1.584,75",
PJ238-2024,Desafio empresarial - Célula de produção - Mahle,FABIO FAVARETTO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,09/10/24,13/12/24,PENDENTE,"R$0,00",
PJ239-2024,DESAFIO EMPRESARIAL MAHLE - PROJETO SEMESTRAL,JULIANA HELENA DAROZ GAUDENCIO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,24/10/24,16/12/24,SIM,"R$0,00",
PJ240-2024,Serviço de análise metalográfica,FAGNER LUIS GOULART DIAS,INSTITUTO DE ENGENHARIA MECÂNICA,17/10/24,31/12/24,PENDENTE,"R$5.000,00",
PJ241-2024,Tecnologias Industriais com Aplicações de Engenharias no Cotidiano,MAXIMILIAN JOACHIM HODAPP,INSTITUTO DE RECURSOS NATURAIS,11/11/24,23/12/24,PENDENTE,"R$0,00",
PJ243-2024,INTERPRETAÇÃO SIMULTÂNEA EM TREINAMENTO DE SISTEMAS AERONÁUTICOS (UNIFEI - TRADWORKS - HELIBRAS),YOHAN ALI DIAZ MENDEZ,INSTITUTO DE ENGENHARIA MECÂNICA,06/11/24,06/12/24,SIM,"R$5.000,00","R$5.000,00"
PJ244-2024,Golim de Ciência,LILIAN BARROS PEREIRA CAMPOS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,12/11/24,31/12/24,PENDENTE,"R$0,00",
PJ245-2024,Análises físico químicas em Fluídos Isolantes: Ênfase na Manutenção de Transformadores de Potência,ROSSANO GIMENES,INSTITUTO DE FÍSICA E QUÍMICA,29/11/24,31/12/24,PENDENTE,"R$12.900,00",
PJ246-2024,Título do Projeto: Proposição de metodologia para estimativa de produção de sedimentos e turbidez nos diferentes cenários da mineração,CARLOS BARREIRA MARTINEZ,INSTITUTO DE ENGENHARIA MECÂNICA,21/11/24,31/12/24,PENDENTE,"R$2.524,27",
PJ248-2024,UNIFEI Jr. Definição de itens armazenados e comprados para a empresa Voith,FABIO FAVARETTO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,10/12/24,20/12/24,PENDENTE,"R$0,00",
PJ249-2024,UNIFEI Jr. - Estratégia de Marketing para o Café Ayres,FABIO FAVARETTO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,10/12/24,20/12/24,PENDENTE,"R$0,00",
PS006-2024,Cura de resina polimérica em alta temperatura,ADHIMAR FLAVIO OLIVEIRA,INSTITUTO DE FÍSICA E QUÍMICA,27/09/24,05/10/24,SIM,"R$1.273,05","R$1.273,05"
PS007-2024,Pesquisa e Desenvolvimento do Sistema Puxado de Policiamento (PMMG),FISCHER JONATAS FERREIRA,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,26/09/24,31/12/24,PENDENTE,"R$20.000,00",
PS008-2024,MPMG/ICEX/DCC/CAPACIDADE ANALITICA - Fase 4,FISCHER JONATAS FERREIRA,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,26/09/24,31/12/24,PENDENTE,"R$12.000,00",
PS009-2024,Cura de resina polimérica em alta temperatura (Continuação),ADHIMAR FLAVIO OLIVEIRA,COORDENAÇÃO DE CURSO DE GRADUAÇÃO - FÍSICA LICENCIATURA,21/10/24,13/12/24,PENDENTE,"R$1.273,05",
