Número do processo - SIPAC/SIGAA,Título da atividade,Nome do (a) Coordenador (a) da atividade,Local de lotação do (a) Coordenador (a),Data de início da atividade,Data de termino da atividade,Relatório Final,Receita (Prevista),Receita (Realizada)
PJ013-2024,Curso Assistencial Theodomiro Santiago- CATS,EDMILSON MARMO MOREIRA,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,04/01/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ014-2024,Todos Somos Leitores 2024,FABRICIO SILVEIRA CHAVES,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,15/01/24,27/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ015-2024,Projeções climáticas em alta resolução para o Estado de São Paulo (renovação/continuação PJ205-2023),MICHELLE SIMOES REBOITA,INSTITUTO DE RECURSOS NATURAIS,10/01/24,31/05/24,ATIVIDADE EM EXECUÇÃO,"R$15.093,67",
PJ016-2024,"Análise de Arranjo Técnico e Comercial Baseado em uma Planta Piloto de Sistema Distribuído de Armazenamento de Energia em Alimentador Crítico da Rede de Distribuição de 13,8 kV",CLODUALDO VENICIO DE SOUSA,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,11/01/24,15/05/24,PENDENTE,"R$5.031,99",
PJ017-2024,Resposta dos Ciclones do Hemisfério sul: resposta da climatologia ao gerenciamento da radiação solar com aerosol estratosférico (continuação PJ179-2023),MICHELLE SIMOES REBOITA,INSTITUTO DE RECURSOS NATURAIS,16/01/24,30/12/24,ATIVIDADE EM EXECUÇÃO,"R$87.915,93",
PJ018-2024,Boletins mensais informativos do monitoramento da qualidade do ar em Itabira/MG (Fluxo Contínuo - Renovação 1ºsem2024),ANA CAROLINA VASQUES FREITAS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,02/01/24,30/06/24,PENDENTE,"R$0,00",
PJ019-2024,(Extensão de Prazo) Desenvolvimento de um Framework para Cidades Inteligentes através de Smart Meters Modulares integrados às Redes de Distribuição e Iluminação Utilizando a Tecnologia 5G,CARLOS HENRIQUE VALERIO DE MORAES,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,29/01/24,30/06/24,PENDENTE,"R$21.000,00",
PJ020-2024,"Ministrar disciplinas EaD nos cursos de Pós-graduação em Intervenção ABA para Autismo e Deficiência Intelectual, e Educação Especial e Inclusiva para Autismo e Deficiência Intelectual Baseadas em Evidências - CBI of Miami",GUILHERME SOUSA BASTOS,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,29/01/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$12.000,00",
PJ021-2024,Descaracterização de TvBox para fins acadêmicos,RAMON MAIA BORGES,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,01/02/24,30/06/24,PENDENTE,"R$0,00",
PJ022-2024,Análises de qualidade de água e solo,ELIANE GUIMARAES PEREIRA MELLONI,INSTITUTO DE RECURSOS NATURAIS,11/02/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$30.000,00",
PJ023-2024,Estudo e análise do enriquecimento com o percentual máximo de H2 verde para uso nos queimadores de gás natural da CSN,CHRISTIAN JEREMI CORONADO RODRIGUEZ,INSTITUTO DE ENGENHARIA MECÂNICA,23/01/24,31/10/24,ATIVIDADE EM EXECUÇÃO,"R$195.697,77",
PJ024-2024,Prestação de serviço do Laboratório de Caracterização Estrutural - LCE,GEOVANI RODRIGUES,INSTITUTO DE ENGENHARIA MECÂNICA,05/02/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$10.000,00",
PJ025-2024,Projeto de extensão de Topografia da Sede Municipal do Município de Dom Viçoso à  ser executado conforme a Resolução CEPEAd N°166/2020 (Continuação),PAULO CESAR GONCALVES,INSTITUTO DE RECURSOS NATURAIS,19/01/24,31/03/24,SIM,"R$2.796,61","R$2.796,61"
PJ026-2024,Elaboração e discussão do conteúdo a ser utilizado para apresentação médico- cientifica da linha de filtros solares,MARCELO DE PAULA CORREA,INSTITUTO DE RECURSOS NATURAIS,16/02/24,16/02/24,SIM,"R$1.000,00","R$1.000,00"
PJ027-2024,Ensaios laboratoriais para caracterização de materiais e estruturas - 2024,ANTONIO CARLOS ANCELOTTI JUNIOR,INSTITUTO DE ENGENHARIA MECÂNICA,01/01/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$80.000,00",
PJ028-2024,Associação Atlética Acadêmica Unifei Itabira (A.A.A.U.I) - 2024,DIOGO LEONARDO FERREIRA DA SILVA,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,01/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ029-2024,Curso Assistencial Amigos de Itajubá - CAAI,KARINA ARRUDA ALMEIDA,INSTITUTO DE RECURSOS NATURAIS,01/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ030-2024,Concurso acadêmico Aveva process simulation,MAXIMILIAN JOACHIM HODAPP,INSTITUTO DE RECURSOS NATURAIS,01/03/24,31/05/24,SIM,"R$0,00",
PJ031-2024,teenTech,ANDRE BERNARDI,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,26/02/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ032-2024,Cultura Maker: tecnologia e inovação para o desenvolvimento da educação básica,MATHEUS BRENDON FRANCISCO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ033-2024,Desenvolvimento de Software Desktop e Mobile para empresa Aperam Bioenergia,KLEBER ROBERTO DA SILVA SANTOS,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,01/03/24,30/06/24,PENDENTE,"R$0,00",
PJ034-2024,Consultoria para o lançamento de produtos da linha UVMune400 - La Roche-Posay,MARCELO DE PAULA CORREA,INSTITUTO DE RECURSOS NATURAIS,01/02/24,31/03/24,SIM,"R$4.500,00","R$4.500,00"
PJ035-2024,"Ação local, mudança global: campanha de conscientização de estudantes da Escola Estadual Antônio  Linhares Guerra sobre a relação entre meio ambiente e saúde pública em Itabira-MG",LEONARDO FERREIRA REIS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,27/02/24,01/08/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ036-2024,Acompanhamento do Plano de Resultados de Ligação com Obras da Equatorial Maranhão,EDUARDO CRESTANA GUARDIA,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,27/02/24,15/05/24,SIM,"R$41.520,00","R$41.520,00"
PJ037-2024,Ciência em Órbita (PET Física),FABIO NAKAGOMI,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,08/03/24,20/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ038-2024,SPE UNIFEI,BETANIA MAFRA KAIZER,INSTITUTO DE FÍSICA E QUÍMICA,01/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$18.000,00",
PJ039-2024,Cosmos Literário (PET Física),FABIO NAKAGOMI,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,08/03/24,13/07/24,PENDENTE,"R$0,00",
PJ040-2024,Cheetah E-Racing,FELIPE DE SOUZA ELOY,INSTITUTO DE ENGENHARIA MECÂNICA,11/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ041-2024,Cheetah H2 racing,LUCILENE DE OLIVEIRA RODRIGUES CHAVES,INSTITUTO DE ENGENHARIA MECÂNICA,11/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ042-2024,Cheetah Racing UNIFEI,BRUNO SILVA DE SOUSA,INSTITUTO DE ENGENHARIA MECÂNICA,11/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ043-2024,Coyotes MotoRacing UNIFEI,PAULO PEREIRA JUNIOR,INSTITUTO DE ENGENHARIA MECÂNICA,11/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ044-2024,Dev-U,PEDRO HENRIQUE DEL BIANCO HOKAMA,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,11/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$10.510,00",
PJ045-2024,EcoVeículo Elétrico,LUCIANO BERTINI,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,11/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.199,10",
PJ046-2024,EcoVeículo Hidrogênio,JOSE HAMILTON CHAVES GORGULHO JUNIOR,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,11/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.182,29",
PJ047-2024,Equipe de Robótica Drumonsters,JULIANO DE ALMEIDA MONTE MOR,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,11/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ048-2024,Equipe Uai!rrior de Autônomos,KLEBER ROBERTO DA SILVA SANTOS,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,11/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ049-2024,Equipe Uai!rrior de Robótica  ,TALES CLEBER PIMENTA,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,11/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ050-2024,Ex Machina,JOSE ALBERTO FERREIRA FILHO,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,11/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.145,52",
PJ051-2024,Falcon-6 Rocket Design: equipe de competição tecnológica (2024),GABRIELA DA FONSECA DE AMORIM,INSTITUTO DE ENGENHARIAS INTEGRADAS,11/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ052-2024,HawkSec,OTÁVIO DE SOUZA MARTINS GOMES,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,11/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ053-2024,Indoor Black Bee Drones,BRUNO GUAZZELLI BATISTA,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,11/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ054-2024,L.O.T.S AERODESIGN,LUIZ FELIPE PUGLIESE,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,11/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.133,30",
PJ055-2024,Outdoor Black Bee Drones,ALEXANDRE CARLOS BRANDAO RAMOS,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,11/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ056-2024,SACI BAJA SAE UNIFEI,BRUNO XAVIER DE FREITAS,INSTITUTO DE ENGENHARIA MECÂNICA,11/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ057-2024,Tamarutaca: Maratona de Programação,WENDELL FIORAVANTE DA SILVA DINIZ,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,11/03/24,20/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ058-2024,Uirá Aerodesign,YOHAN ALI DIAZ MENDEZ,INSTITUTO DE ENGENHARIA MECÂNICA,11/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.195,22",
PJ059-2024,Uirá Micro,GUILHERME FERREIRA GOMES,INSTITUTO DE ENGENHARIA MECÂNICA,11/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.189,94",
PJ060-2024,VEÍCULO BAJA SAE,BRUNO SILVA COTA,INSTITUTO DE ENGENHARIAS INTEGRADAS,11/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.151,00",
PJ061-2024,Veículo Fórmula SAE   ,LEONARDO ALBERGARIA OLIVEIRA,INSTITUTO DE ENGENHARIAS INTEGRADAS,11/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ062-2024,Beyond Satélites,ADHIMAR FLAVIO OLIVEIRA,INSTITUTO DE FÍSICA E QUÍMICA,12/03/24,13/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ064-2024,"Fornecer os cursos EaD ""Desvendando o uso de telas no Autismo""e ""Utilizando a Tecnologia Assistiva na Educação"" para a Luna Educação",GUILHERME SOUSA BASTOS,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,18/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$8.000,00",
PJ065-2024,Tsunami Cheerleading,ROSE MARIE BELARDI,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,31/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ066-2024,"Prestação de serviços em metalografia, ensaios mecânicos, análise de composição química, microscopia ótica, tratamentos térmicos, medição de dureza, medição de espessura por ultrassom, qualificação de soldadores e de procedimentos de soldagem   ",EDMILSON OTONI CORREA,INSTITUTO DE ENGENHARIA MECÂNICA,20/03/24,30/12/24,ATIVIDADE EM EXECUÇÃO,"R$18.339,11",
PJ067-2024,Conflitos rurais do Alto e Médio Rio Doce (MG): educação permanente e popular para a defesa do direito à saúde das comunidades quilombolas,LEONARDO FERREIRA REIS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,20/03/24,01/07/24,PENDENTE,"R$0,00",
PJ068-2024,UMA PROPOSTA PARA POPULARIZAÇÃO DA CIÊNCIA USO DE MACROINVERTEBRADOS BENTÔNICOS COMO BIOINDICADORES DE QUALIDADE DE ÁGUA,BIANCA CABRAL CALDEIRA,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,01/04/24,01/11/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ069-2024,CORPO A CORPO,KARINA ARRUDA ALMEIDA,INSTITUTO DE RECURSOS NATURAIS,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ070-2024, Criação de negócios tecnológicos - Pré-aceleração 2024,MIRIAN DE LOURDES NORONHA MOTTA MELO,INSTITUTO DE ENGENHARIA MECÂNICA,02/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.010,00",
PJ071-2024,Incubadora Tecnológica de Associativismo Comunitário de Itabira - BTac,ISABELA MAGANHA,INSTITUTO DE ENGENHARIAS INTEGRADAS,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ072-2024,BTec - Incubadora de negócios de impacto e base tecnológica de Itabira,TABATA NAKAGOMI FERNANDES PEREIRA,INSTITUTO DE ENGENHARIAS INTEGRADAS,14/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ073-2024,COMPOSTEIRAS COMUNITÁRIAS 2024: ação de educação ambiental no Campus de Itabira da Unifei,GABRIELA DA FONSECA DE AMORIM,INSTITUTO DE ENGENHARIAS INTEGRADAS,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ074-2024,Universidade Cultural: estimulando a cultura no campus e na cidade de Itajubá,JOSE HAMILTON CHAVES GORGULHO JUNIOR,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,26/03/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ075-2024,Terça no coworking,FULVIA STEFANY SILVA DE OLIVEIRA,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ076-2024,Documentário sobre Universidades Empreendedoras no contexto Brasileiro.,JULIANA HELENA DAROZ GAUDENCIO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ077-2024,CRIA,ANDREA APARECIDA DA COSTA MINEIRO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,01/04/24,20/12/24,ATIVIDADE EM EXECUÇÃO,"R$10.981,00",
PJ078-2024,Projeto de Melhoria e Automatização de Processos para Empresas de Base Tecnológica em Itajubá,ANDRE BERNARDI,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,15/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ080-2024,Extensão: uma experiência maker,RONARA CRISTINA BOZI DOS REIS,INSTITUTO DE ENGENHARIAS INTEGRADAS,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.177,30",
PJ081-2024,Definição de Processos e Padrões para Prototipagem com Tecnologias de Manufatura Aditiva,JESUS ANTONIO GARCIA SANCHEZ,INSTITUTO DE ENGENHARIA MECÂNICA,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ083-2024,Farol do AmantiQueer: lançando luz sobre a comunidade LGBTQIAPN+ da Mantiqueira.,PAULO CEZAR NUNES JUNIOR,INSTITUTO DE FÍSICA E QUÍMICA,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.181,98",
PJ084-2024,Implantação de unidade modelo de tratamento de esgoto doméstico no bairro rural Pessegueiro.,MARCIA VIANA LISBOA MARTINS,INSTITUTO DE RECURSOS NATURAIS,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$10.838,80",
PJ085-2024,Disseminação de informações hidrometeorológicas e ambientais para a população itajubense - edição 2024,MICHELLE SIMOES REBOITA,INSTITUTO DE RECURSOS NATURAIS,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$10.950,00",
PJ086-2024,Não Mexe com a Minha Cor: Letramento racial e educação antirracista nas escolas (Fase II)  ,ANA CAROLINA SALES OLIVEIRA,INSTITUTO DE FÍSICA E QUÍMICA,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.196,80",
PJ087-2024,"EDUCAÇÃO CIENTÍFICA E SABERES POPULARES: Ancestralidade, Tecnologias e Geração de Renda",CARLOS ALBERTO MAXIMO PIMENTA,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ088-2024,REVITALIZAR   ,ELIANA DE FATIMA SOUZA SALOMON,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ089-2024,Ações de Inclusão para Pessoas com Síndrome de Down (da infância à fase adulta) de Itabira - MG,LILIAN BARROS PEREIRA CAMPOS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$10.113,50",
PJ090-2024,"TrilhaZ e Extensão Universitária: meio ambiente, educação, cultura e turismo sustentável",PAULO CEZAR NUNES JUNIOR,INSTITUTO DE FÍSICA E QUÍMICA,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.197,80",
PJ091-2024,ONG Engenheiros da Alegria,LUCILENE DE OLIVEIRA RODRIGUES CHAVES,INSTITUTO DE ENGENHARIA MECÂNICA,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.000,00",
PJ092-2024,Cadim de Música,GLAUBER ZERBINI COSTAL,INSTITUTO DE ENGENHARIAS INTEGRADAS,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ093-2024,Lesson Study: Promovendo o desenvolvimento profissional e a melhoria da qualidade social do Ensino de Ciências e Matemática na Educação Básica,ELIANE MATESCO CRISTOVAO,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ094-2024,XIS - Xadrez e Inclusão Social ,MARIA ELENA LEYVA GONZALEZ,INSTITUTO DE FÍSICA E QUÍMICA,01/04/24,30/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ095-2024,Biologia de Portas Abertas,SIMONE POLICENA ROSA,INSTITUTO DE RECURSOS NATURAIS,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ096-2024,Preparação de Alunos da Rede Municipal de Ensino de Itabira para a OBMEP 2024,JOAO PAULO ROQUIM ROMANELLI,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ097-2024,Semeando Cientistas 4,MILADY RENATA APOLINARIO DA SILVA,INSTITUTO DE FÍSICA E QUÍMICA,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ098-2024,"“MENINAS COM CIÊNCIA: Encorajando e Reconhecendo as Mulheres na Ciência""  ",BIANCA CABRAL CALDEIRA,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ099-2024,HOJE VI UM CIENTISTA,JANE RAQUEL SILVA DE OLIVEIRA,INSTITUTO DE FÍSICA E QUÍMICA,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$10.700,00",
PJ100-2024,Máquinas de Leonardo da Vinci - 2024,EDELMA ELETO DA SILVA,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ101-2024,Ciências na Prática – O laboratório de ciências da Escola Marquês de Sapucaí como espaço de formação docente continuada,EVANDRO FORTES ROZENTALSKI,INSTITUTO DE FÍSICA E QUÍMICA,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.114,88",
PJ102-2024,TRILHAS ECOLÓGICAS E POSSIBILIDADES INTERDISCIPLINARES PARA O ENSINO MÉDIO,ROGERIO MELLONI,INSTITUTO DE RECURSOS NATURAIS,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$9.167,12",
PJ103-2024,Ciência Interativa nas Escolas e Praças de Cidades do Sul de Minas Gerais,JOAO RICARDO NEVES DA SILVA,INSTITUTO DE FÍSICA E QUÍMICA,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ104-2024,Desenvolvimento de um jogo de RPG 2D com foco no ensino e discussão da ética e integridade.  ,PHYLLIPE DE SOUZA LIMA FRANCISCO,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ105-2024,CENTRO DE EXCELÊNCIA EM VÔLEI DE PRAIA: DA FORMAÇÃO AO RENDIMENTO,ANTONIO CARLOS ZAMBRONI DE SOUZA,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ106-2024,Pomar Urbano Comunitário do Bairro Anhumas,CARLOS EDUARDO CORREA MOLINA,INSTITUTO DE ENGENHARIA MECÂNICA,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ107-2024,Fundação ASIMO,LUIZ LENARTH GABRIEL VERMAAS,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ108-2024,Otium caritatis (Ócio caridoso),DANUBIA JUNCA CUZZUOL,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ109-2024,UNIFEI ALÉM DOS MUROS: Mapeamento de melhorias e ações de visibilidade para um projeto de apoio a moradores de rua da cidade de Itajubá (MG),SANDRA MIRANDA NEVES,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ110-2024,Tecnologias Emergentes 2024: Mentoria sobre Práticas educativas de Inteligência Artificial na Educação Básica,CLAUDIA ELIANE DA MATTA,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ111-2024,Semeando a cultura da paz,MILADY RENATA APOLINARIO DA SILVA,INSTITUTO DE FÍSICA E QUÍMICA,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ112-2024,"DIVERSIDADE E INCLUSÃO NAS EMPRESAS: UMA ABORDAGEM MULTIFOCAL SOBRE OPORTUNIDADES, ABSORÇÃO E PROGRESSÃO DE CARREIRAS PARA  GRUPOS RACIAIS MINORITÁRIOS NO MEIO CORPORATIVO.",ANA CAROLINA SALES OLIVEIRA,INSTITUTO DE FÍSICA E QUÍMICA,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.190,20",
PJ113-2024,Conexão dos Saberes  ,ISABEL CRISTINA DA SILVA ARANTES,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ114-2024,Ações de Engenharia Popular para o fortalecimento da associação de catadores de materiais recicláveis e reutilizáveis de Itabira (ASCARMARITA),LEONARDO FERREIRA REIS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ115-2024,Vamos falar português?,TALES CLEBER PIMENTA,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,01/04/24,30/11/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ116-2024,Women's Research Engineers Network,JENIFFER DE NADAE,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$10.500,00",
PJ117-2024,CONEXÕES,KARINA ARRUDA ALMEIDA,INSTITUTO DE RECURSOS NATURAIS,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ118-2024,VANT`s no ensino básico: o despertar do anseio pela educação superior,BRUNO GUAZZELLI BATISTA,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ119-2024,Engenharia Engajada,LUIZ FELIPE SILVA,INSTITUTO DE RECURSOS NATURAIS,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$10.656,00",
PJ120-2024,Blue Bunnies – Cheerleading Team UNIFEI    ,DIEGO MAURICIO YEPES MAYA,INSTITUTO DE ENGENHARIA MECÂNICA,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.112,34",
PJ121-2024,Curso preparatório para a Olimpíada Brasileira de Astronomia – Ensino Fundamental (PET Física),FABIO NAKAGOMI,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,01/04/24,02/09/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ122-2024,NewArmStrong,DEAN BICUDO KAROLAK,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.180,00",
