Número do processo - SIPAC/SIGAA,Título da atividade,Nome do (a) Coordenador (a) da atividade,Local de lotação do (a) Coordenador (a),Data de início da atividade,Data de termino da atividade,Relatório Final,Receita (Prevista),Receita (Realizada)
PJ219-2025,Centrais TermelEtricas: Fundamentos e operaCAo 2025,CHRISTIAN JEREMI CORONADO RODRIGUEZ,INSTITUTO DE ENGENHARIA MECÂNICA,06/10/25,14/12/25,NAO,"R$26.643,00",
PJ221-2025,Projeto Arvore dos Sonhos (2025),SANDRA MIRANDA NEVES,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,06/10/25,31/12/25,SIM,,
PJ235-2025,Unifei nas Escolas: DivulgaCAo dos Processos Seletivos e Fortalecimento da IntegraCAo Universidade–Comunidade,DANIEL CLEMENTE VINSTITUTO DE ENGENHARIAS INTEGRADASRA REGO DA SILVA,INSTITUTO DE RECURSOS NATURAIS,06/10/25,12/12/25,NAO,,
PJ235-2025,Unifei nas Escolas: DivulgaCAo dos Processos Seletivos e Fortalecimento da IntegraCAo Universidade–Comunidade,DANIEL CLEMENTE VINSTITUTO DE ENGENHARIAS INTEGRADASRA REGO DA SILVA,INSTITUTO DE RECURSOS NATURAIS,06/10/25,12/12/25,NAO,,
PJ215-2025,AnalyticUp UNIFEI – Liga AcadEmica em CiEncia de Dados e AnAlise de Dados,MELISE MARIA VEIGA DE PAULA,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,08/10/25,31/12/25,NAO,,
PG002-2025,Lab001 - PrE-AceleraCAo CEU UNIFEI 2025,LUIZ GUILHERME RODRIGUES ANTUNES,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,09/10/25,20/12/25,SIM,,
EV076-2025,"I Encontro da POs-GraduaCAo da UNIFEI: Desafios, Oportunidades e Perspectivas",VANESSA SILVEIRA BARRETO CARVALHO,INSTITUTO DE RECURSOS NATURAIS,10/10/25,03/10/25,NAO,,
PJ217-2025,AplicaCAo da Rede CAN e do Protocolo CANopen em Sistemas de AutomaCAo e Controle,ANDRE BERNARDI,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,10/10/25,10/11/25,SIM,"R$8.925,00","R$8.925,00"
EV106-2025,Journey - Jornadas Empreendedoras 2-2025,ANDREA APARECIDA DA COSTA MINEIRO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,10/10/25,31/10/25,SIM,,
EV110-2025,Workshop EkO: Ancestralidade e Futuro - Segunda EdiCAo,HELOISA HELENA DOS SANTOS AMANCIO,OUV,10/10/25,18/11/25,SIM,,
CR055-2025,Curso de elaboraCAo de Placa de Circuito Impresso (PCB),EGON LUIZ MULLER JUNIOR,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,13/10/25,14/11/25,SIM,,
CR057-2025,Curso IntrodutOrio de GitHub,EGON LUIZ MULLER JUNIOR,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,13/10/25,14/11/25,SIM,,
EV120-2025,VIII SeminArio de InovaCAo PedagOgica: conectando tecnologias educacionais e inovaCAo pedagOgica para uma formaCAo emancipatOria,MAYRA DA SILVA CUTRUNEO CESCHINI,INSTITUTO DE RECURSOS NATURAIS,13/10/25,31/12/25,NAO,,
PJ234-2025,Reserva biolOgica municipal da Serra dos Toledos,DANIELA ROCHA TEIXEIRA RIONDET COSTA,INSTITUTO DE RECURSOS NATURAIS,13/10/25,13/12/25,NAO,,
PJ233-2025,"SensibilizaCAo ambiental das crianCas na Escola Municipal AntOnio Salomon, no Bairro Cruzeiro, na cidade de ItajubA, em relaCAo à temAtica do ar da reserva biolOgica da Serra dos Toledos.",DANIELA ROCHA TEIXEIRA RIONDET COSTA,INSTITUTO DE RECURSOS NATURAIS,13/10/25,13/12/25,NAO,,
PJ232-2025,SensibilizaCAo de alunos do 5º ano sobre a fauna na Reserva BiolOgica da Serra dos Toledos,DANIELA ROCHA TEIXEIRA RIONDET COSTA,INSTITUTO DE RECURSOS NATURAIS,13/10/25,13/12/25,NAO,,
PJ231-2025,SENSIBILIZACAO DAS CRIANCAS DA ESCOLA MUNICIPAL DR. ANTONIO SALOMON COM RELACAO AO SOLO DA RESERVA BIOLOGICA DA SERRA DOS TOLEDOS,DANIELA ROCHA TEIXEIRA RIONDET COSTA,INSTITUTO DE RECURSOS NATURAIS,13/10/25,13/12/25,NAO,,
PJ229-2025,RelevAncia da reciclagem e da coleta seletiva considerando a eficiEncia,DANIELA ROCHA TEIXEIRA RIONDET COSTA,INSTITUTO DE RECURSOS NATURAIS,13/10/25,13/12/25,NAO,,
PJ228-2025,ImportAncia da reciclagem e da coleta seletiva considerando eficiEncia,DANIELA ROCHA TEIXEIRA RIONDET COSTA,INSTITUTO DE RECURSOS NATURAIS,13/10/25,13/12/25,NAO,,
PJ227-2025,ImportAncia da preservaCAo do solo em trilhas,DANIELA ROCHA TEIXEIRA RIONDET COSTA,INSTITUTO DE RECURSOS NATURAIS,13/10/25,13/12/25,NAO,,
PJ226-2025,EducaCAo Ambiental sobre a Flora da Reserva BiolOgica da Serra dos Toledos,DANIELA ROCHA TEIXEIRA RIONDET COSTA,INSTITUTO DE RECURSOS NATURAIS,13/10/25,13/12/25,NAO,,
EV120-2025,VIII SeminArio de InovaCAo PedagOgica: conectando tecnologias educacionais e inovaCAo pedagOgica para uma formaCAo emancipatOria,MAYRA DA SILVA CUTRUNEO CESCHINI,INSTITUTO DE RECURSOS NATURAIS,13/10/25,31/12/25,SIM,"R$11.978,00","R$11.978,00"
PJ233-2025,"SensibilizaCAo ambiental das crianCas na Escola Municipal AntOnio Salomon, no Bairro Cruzeiro, na cidade de ItajubA, em relaCAo à temAtica do ar da reserva biolOgica da Serra dos Toledos.",DANIELA ROCHA TEIXEIRA RIONDET COSTA,INSTITUTO DE RECURSOS NATURAIS,13/10/25,13/12/25,NAO,,
PJ234-2025,Reserva biolOgica municipal da Serra dos Toledos,DANIELA ROCHA TEIXEIRA RIONDET COSTA,INSTITUTO DE RECURSOS NATURAIS,13/10/25,13/12/25,NAO,,
CR059-2025,Python para SimulaCOes e AnAlise de Dados,YOHAN ALI DIAZ MENDEZ,INSTITUTO DE ENGENHARIA MECÂNICA,15/10/25,12/12/25,SIM,,
PJ209-2025,Visita à planta da Cenibra (Celulose Nipo-Brasileira SA) em Belo Oriente-MG,MARCOS MOURA GALVAO,INSTITUTO DE ENGENHARIAS INTEGRADAS,15/10/25,15/10/25,SIM,"R$3.000,00","R$3.000,00"
PJ223-2025,PROJETO JANELAS DO SABER,RODRIGO MAXIMIANO ANTUNES DE ALMEIDA,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,15/10/25,31/12/25,NAO,,
EV097-2025,1º Encontro Voices: A importAncia da famIlia na mobilidade acadEmica internacional.,EDUARDO CRESTANA GUARDIA,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,15/10/25,15/10/25,SIM,,
EV097-2025,1º Encontro Voices: A importAncia da famIlia na mobilidade acadEmica internacional.,ROBERTO AKIRA YAMACHITA,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,15/10/25,15/10/25,SIM,,
EV112-2025,III MOSTRA DE PROFISSOES,CAROLINA REZENDE PINTO NARCISO,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,15/10/25,28/11/25,SIM,,
EV112-2025,III MOSTRA DE PROFISSOES,CAROLINA REZENDE PINTO NARCISO,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,15/10/25,28/11/25,NAO,,
EV087-2025,I FOrum Regional de Economia dos Saberes,CARLOS ALBERTO MAXIMO PIMENTA,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,16/10/25,16/10/25,NAO,,
EV105-2025,Palestra sobre o papel do engenheiro de produCAo na comunidade e o curso de graduaCAo em Engenharia de ProduCAo da UNIFEI ItajubA,FABIANO LEAL,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,16/10/25,16/10/25,SIM,,
EV114-2025,X CafE Ambiental,GUSTAVO ALVES PUIATTI,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,16/10/25,14/11/25,SIM,,
EV114-2025,X CafE Ambiental,GUSTAVO ALVES PUIATTI,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,16/10/25,14/11/25,NAO,,
EV118-2025,Atual funcionamento do mercado brasileiro de energia fotovoltaica,ROGER JUNIO CAMPOS,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,17/10/25,17/10/25,SIM,,
EV118-2025,Atual funcionamento do mercado brasileiro de energia fotovoltaica,ROGER JUNIO CAMPOS,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,17/10/25,17/10/25,NAO,,
EV111-2025,ACAo Social de Dia das CrianCas - Amigos de ItajubA,LUIZ EUGENIO VENEZIANI PASIN,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,18/10/25,18/10/25,SIM,,
PJ241-2025,Ciclo de eventos do grupo extensonista TrilhaZ,PAULO CEZAR NUNES JUNIOR,INSTITUTO DE FÍSICA E QUÍMICA,21/10/25,12/12/25,SIM,,
EV109-2025,Treinamento - Primeiros Socorros II,DENISE RANSOLIN SORANSO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,22/10/25,22/10/25,SIM,,
EV099-2025,II Semana de meteorologista,MICHELLE SIMOES REBOITA,INSTITUTO DE RECURSOS NATURAIS,22/10/25,24/10/25,SIM,,
EV119-2025,ColoraCAo em Grafos e AplicaCOes em OtimizaCAo CombinatOria,GIOVANI BERNARDES VITOR,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,22/10/25,22/10/25,SIM,,
EV115-2025,I SEMINARIO: INTERSECCIONALIDADE E INTERSETORIALIDADE EM SAUDE MENTAL NO ALTO DO SAPUCAI: ROMPENDO BARREIRAS E CONSTRUINDO CAMINHOS,TIAGO LUIZ GONCALVES,DIRETORIA DE ASSUNTOS ESTUDANTIS,23/10/25,23/10/25,SIM,,
CR062-2025,Mini-curso de ProgramaCAo em linguagem Julia,GIOVANI BERNARDES VITOR,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,23/10/25,24/10/25,SIM,,
EV113-2025,Dia da ComputaCAo,FERNANDA RODRIGUES DA SILVA,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,24/10/25,30/11/25,SIM,,
EV113-2025,Dia da ComputaCAo,FERNANDA RODRIGUES DA SILVA,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,24/10/25,30/11/25,NAO,,
EV121-2025,Jornada de SaUde e SeguranCa do Trabalho III,LINDOMAR MATIAS GONCALVES,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,26/10/25,28/11/25,SIM,,
EV116-2025,BOTA PRA CORRER,CARLOS HENRIQUE PEREIRA MELLO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,27/10/25,07/11/25,SIM,,
PJ230-2025,Levantamento topobatimEtrico para estimativa de volume e de sedimentaCAo do reservatOrio do parque municipal de Itajuba - MG,SAMARA CALCADO DE AZEVEDO,INSTITUTO DE RECURSOS NATURAIS,27/10/25,31/12/25,NAO,,
EV116-2025,Bora pra correr,CARLOS HENRIQUE PEREIRA MELLO,IPEG,27/10/25,07/11/25,NAO,,
EV137-2025,Tecnologia que AbraCa: Dia das CrianCas Ex Machina na APAE ItajubA,ANA CAROLINA SALES OLIVEIRA,INSTITUTO DE FÍSICA E QUÍMICA,27/10/25,31/10/25,SIM,,
PJ253-2025,Revista Anual da DIRETORIA DE CULTURA E EXTENSÃO SOCIAL Unifei: ExperiEncias e PrAticas de ExtensAo Social e Cultura em ItajubA e Itabira,FLAVIA FERNANDA CARVALHO DA MOTTA,PROEX,28/10/25,19/12/25,NAO,,
EV126-2025,NOCOES DE PRIMEIROS SOCORROS: curso de capacitaCAo oferecido pela SP Life Treinamentos e Consultoria Ltda. para os membros da equipe Falcon-6 Rocket Design,GABRIELA DA FONSECA DE AMORIM,INSTITUTO DE ENGENHARIAS INTEGRADAS,30/10/25,02/11/25,NAO,,
EV125-2025,PALESTRA SOBRE O PAPEL DO ENGENHEIRO DE PRODUCAO NA SOCIEDADE E O CURSO DE GRADUACAO EM ENGENHARIA DE PRODUCAO DA UNIFEI-ITAJUBA,FABIANO LEAL,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,30/10/25,30/10/25,NAO,,
PJ237-2025,Desafio Empresarial - Desenvolvimento de soluCAo para controle de material em processo,FABIO FAVARETTO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,31/10/25,05/12/25,SIM,,
PJ239-2025,ImplantaCAo de Sistemas de gestAo no Restaurante UniversitArio,RAFAEL SILVA CAPAZ,INSTITUTO DE RECURSOS NATURAIS,31/10/25,14/12/25,SIM,,
EV133-2025,Mostra no LaboratOrio de Engenharia e Desenvolvimento de Produtos (LEDP). TemAtica: Produtos pensados para ajudar a melhorar a rotina na Unifei ou a vida em Itabira com materiais reaproveitados e/ou de baixo custo,GABRIELA DA FONSECA DE AMORIM,INSTITUTO DE ENGENHARIAS INTEGRADAS,01/11/25,28/11/25,NAO,,
CR065-2025,AplicaCAo da Abordagem STHEM na EMTi17 – Processamento de Materiais MetAlicos,RICARDO LUIZ PEREZ TEIXEIRA,INSTITUTO DE ENGENHARIAS INTEGRADAS,01/11/25,18/12/25,SIM,,
EV133-2025,Mostra no LaboratOrio de Engenharia e Desenvolvimento de Produtos (LEDP). TemAtica: Produtos pensados para ajudar a melhorar a rotina na Unifei ou a vida em Itabira com materiais reaproveitados e/ou de baixo custo,GABRIELA DA FONSECA DE AMORIM,INSTITUTO DE ENGENHARIAS INTEGRADAS,01/11/25,28/11/25,NAO,,
EV122-2025,XII SeRE - Semana de Recursos EnergEticos,LUCILENE DE OLIVEIRA RODRIGUES CHAVE,INSTITUTO DE ENGENHARIA MECÂNICA,02/11/25,28/11/25,NAO,,
EV122-2025,XII SeRE - Semana de Recursos EnergEticos,LUCILENE DE OLIVEIRA RODRIGUES CHAVES,INSTITUTO DE ENGENHARIA MECÂNICA,02/11/25,28/11/25,SIM,,
EV130-2025,MANUTENCAO INDUSTRIAL - ESTUDOS DE CASO,BRUNO SILVA COTA,INSTITUTO DE ENGENHARIAS INTEGRADAS,03/11/25,30/11/25,SIM,,
CR064-2025,"Curso de modelagem 3D, Solid Works bAsico",LEONARDO ALBERGARIA OLIVEIRA,INSTITUTO DE ENGENHARIA MECÂNICA,03/11/25,21/11/25,NAO,,
PJ225-2025,IntegraMat 2025,FERNANDO PEREIRA MICENA,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,04/11/25,08/11/25,SIM,,
EV127-2025,Jornada de MatemAtica Aplicada,ARTUR CESAR FASSONI,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,04/11/25,05/11/25,SIM,,
EV082-2025,10ª Semana da QuImica – SemQ,EVANDRO FORTES ROZENTALSKI,INSTITUTO DE FÍSICA E QUÍMICA,05/11/25,07/11/25,SIM,,
CR060-2025,Mini curso: Fatiadores de ImpressAo 3D,HUGO JOSE RIBEIRO JUNIOR,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,07/11/25,28/11/25,NAO,,
PJ244-2025,Projeto de revitalizaCAo de Microbacias Rurais - ano 2025,ANA PAULA MONI SILVA,INSTITUTO DE RECURSOS NATURAIS,07/11/25,31/12/25,NAO,,
PJ246-2025,Da Teoria à PrAtica: Conectando ALUNO GRADUACAOs de Engenharia MecAnica ao Ambiente Industrial,FABIO SANTOS NASCIMENTO,INSTITUTO DE ENGENHARIAS INTEGRADAS,07/11/25,14/11/25,SIM,,
CR063-2025,ENIGMAS DO DESENVOLVIMENTO E TECNOLOGIAS: REFLEXOES PARA IMAGINAR OUTROS MUNDOS,CARLOS ALBERTO MAXIMO PIMENTA,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,10/11/25,31/12/25,SIM,,
EV124-2025,1o SeminArio Desastres Naturais e Cidades Resilientes: Conectando CiEncia e Sociedade,BENEDITO CLAUDIO DA SILVA,INSTITUTO DE RECURSOS NATURAIS,10/11/25,11/11/25,NAO,,
PJ243-2025,Desenvolvimento de Startups - CurricularizaCAo da Disciplina Empreendedorismo,LILIAN BARROS PEREIRA CAMPOS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,10/11/25,31/12/25,NAO,,
PJ245-2025,Projeto DiagnOstico Empresarial - 2025.2,LILIAN BARROS PEREIRA CAMPOS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,10/11/25,31/12/25,NAO,,
EV123-2025,Palestra: “Desafios atuais sobre disponibilidade hIdrica em centros urbanos: Tecnologias computacionais como suporte para Cidades Inteligentes”,FERNANDO DAS GRACAS BRAGA DA SILVA,INSTITUTO DE RECURSOS NATURAIS,11/11/25,11/11/25,NAO,,
EV123-2025,Palestra: “Desafios atuais sobre disponibilidade hIdrica em centros urbanos: Tecnologias computacionais como suporte para Cidades Inteligentes”,FERNANDO DAS GRACAS BRAGA DA SILVA,INSTITUTO DE RECURSOS NATURAIS,11/11/25,11/11/25,SIM,,
PJ242-2025,Desenvolvimento de embalagens para frutas no transporte de acordo com a concepCAo do consumidor visando a reduCAo de perdas,JULIANA HELENA DAROZ GAUDENCIO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,11/11/25,10/12/25,SIM,,
EV102-2025,Jornadas UniversitArias da Reforma AgrAria - JURA,LUIZ FELIPE SILVA,INSTITUTO DE RECURSOS NATURAIS,12/11/25,12/11/25,SIM,,
EV131-2025,IntroduCAo ao Reconhecimento de PadrOes,GIOVANI BERNARDES VITOR,INSTITUTO DE ENGENHARIAS INTEGRADAS,12/11/25,14/11/25,SIM,,
EV117-2025,A short course on cosmic inflation,LEANDRO GUSTAVO GOMES,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,12/11/25,14/11/25,SIM,,
EV117-2025,A short course on cosmic inflation,VITORIO ALBERTO DE LORENCI,INSTITUTO DE FÍSICA E QUÍMICA,12/11/25,14/11/25,SIM,,
EV132-2025,II Workshop de IntegraCAo do PPGEE (UFOP/UNIFEI),GIOVANI BERNARDES VITOR,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,13/11/25,13/11/25,SIM,,
PJ238-2025,Explorando a UNIFEI Itabira: Jornada para a Engenharia,FABIO SANTOS NASCIMENTO,INSTITUTO DE ENGENHARIAS INTEGRADAS,14/11/25,14/11/25,SIM,"R$2.052,00","R$2.052,00"
PS015-2025,IntroduCAo à CoordenaCAo de Isolamento,GUSTAVO PAIVA LOPES,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,17/11/25,31/12/25,NAO,"R$8.649,28",
PJ240-2025,BIOCONSTRUCAO E TECNICAS VERNACULARES EM AMBIENTES RURAIS,DANIELE ORNAGHI SANT ANNA,INSTITUTO DE RECURSOS NATURAIS,17/11/25,31/12/25,NAO,,
PJ248-2025,Projeto de AtuaCAo e Desenvolvimento da In Loco Jr. - Empresa JUnior de Engenharia Civil da UNIFEI,MARCIA VIANA LISBOA MARTINS,INSTITUTO DE RECURSOS NATURAIS,17/11/25,31/12/25,NAO,,
CR066-2025,Clase EnergIa y Sostenibilidad,RAFAEL SILVA CAPAZ,INSTITUTO DE RECURSOS NATURAIS,19/11/25,15/12/25,SIM,"R$848,00","R$848,00"
EV134-2025,PALESTRA SOBRE O PAPEL DO ENGENHEIRO DE PRODUCAO NA SOCIEDADE E O CURSO DE GRADUACAO EM ENGENHARIA DE PRODUCAO DA UNIFEI-ITAJUBA,FABIANO LEAL,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,19/11/25,19/11/25,NAO,,
EV136-2025,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO SUMMIT 2025,RENATO DA SILVA LIMA,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,24/11/25,30/12/25,NAO,,
EV141-2025,GestAo de Carreira - Pitch,JULIANA ESTACIO RIOS,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,24/11/25,30/11/25,SIM,,
EV121-2025,Jornada de SaUde e SeguranCa do Trabalho III,LINDOMAR MATIAS GONcALVES,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,26/11/25,28/11/25,NAO,,
CR069-2025,ParticipaCAo em curso Engenharia EconOmica 2,EDSON DE OLIVEIRA PAMPLONA,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,26/11/25,31/12/25,NAO,"R$3.300,00",
PJ247-2025,UNIFEI no Natal em Comunidades,MARCIO TSUYOSHI YASUDA,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,26/11/25,01/12/25,SIM,,
EV139-2025,ExposiCAo de trabalhos dos alunos de design da UNIFEI,FABIO MARIANO CRUZ PEREIRA,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,27/11/25,28/11/25,SIM,,
CR068-2025,Indesign BAsico,FABIO MARIANO CRUZ PEREIRA,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,28/11/25,28/11/25,SIM,,
PJ251-2025,Projeto Desafio Empresarial Joyson: implementaCAo de RFID,JOSE HAMILTON CHAVES GORGULHO JUNIOR,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,28/11/25,31/12/25,SIM,,
PJ252-2025,Desafio Empresarial 2025 Joyson – Unifei Projeto 15: OtimizaCAo de processos produtivos balanceamento de operaCOes,DAGOBERTO ALVES DE ALMEIDA,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,01/12/25,31/12/25,NAO,,
EV129-2025,Mostra Cultural de Design: ExpressOes Criativas e Processos Projetuais,JULIANA FERNANDES PEREIRA,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,03/12/25,03/12/25,SIM,,
EV140-2025,Simulation Day,EMERSON JOSE DE PAIVA,INSTITUTO DE ENGENHARIAS INTEGRADAS,04/12/25,04/12/25,NAO,,
PJ249-2025,Engenharia Imersiva: DinAmicas e Tecnologias para PromoCAo do Interesse em Engenharia e CiEncias AeronAuticas entre Jovens do Ensino BAsico,YOHAN ALI DIAZ MENDEZ,INSTITUTO DE ENGENHARIA MECÂNICA,05/12/25,31/12/25,NAO,"R$178.446,51",
CR070-2025,IntroduCAo prAtica à ImpressAo 3D,GUSTAVO HENRIQUE DE MAGALHAES GOMES,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,09/12/25,31/12/25,NAO,,
CR070-2025,IntroduCAo prAtica à ImpressAo 3D,LUCAS ANTONIO DE OLIVEIRA,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,09/12/25,31/12/25,NAO,,
EV128-2025,Terceira Jam na Unifei,JOSE HAMILTON CHAVES GORGULHO JUNIOR,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,14/12/25,14/12/25,SIM,,
