Código,Título do Projeto de Pesquisa,Início,Término,Status,Financiador,Recursos Externos ,Equipe,Instituto Vinculado,Função (Discente/ Coordenador/Docente),Entrega de relatório (observações)
PVDI153-2021 ,"Caraterização microestrutural de ligas de Alta Entropia a base de (Fe,Cr)MoNb(Ti,Zr)WAlx (x<0.01) obtidas pelo processo de moagem de alta energia ",1/8/2021,31/7/2023,Expirado,,,Antonio Augusto Araújo Pinto da Silva,IEM,Coordenador,
PVDI198-2021,Módulos termoelétricos cerâmicos: Aprimoramento da conversão de calor residual em energia elétrica,1/3/2021,28/2/2024,Expirado,CNPq,"R$ 39.600,00",Maria Virgínia Gelfuso,IEM,Coordenador,
PIDI199-2019,IMPACTO DA INFESTAÇÃO DE “LIMNOPERNA FORTUNEI” NA MICRO GERAÇÃO HIDRELÉTRICA BRASILEIRA - PQ - CNPq,1/3/2019,28/2/2023,Expirado,CNPq,"R$ 120.000,00",CARLOS BARREIRA MARTINEZ,IEM,Coordenador,Arquivado - Relatório final entregue
PIDI200-2021,OBTENÇÃO E APLICAÇÃO DE SISTEMAS COM PROPRIEDADES CRÔMICAS BASEADOS EM ESPIROPIRANOS,1/3/2021,29/2/2024,Vigente,CNPq,"R$ 39.600,00",Frederico Barros de Sousa,IFQ,Coordenador,
PVDI202-2021,Plataforma de Previsão de Vazões na Bacia do Rio Paraíba do Sul como Suporte à Prevenção de Inundações,12/4/2021,11/12/2024,Vigente,AGEVAP,"R$ 21.739,13",Vanessa Silveira Barreto Carvalho,IRN,Coordenador,
PVDI201-2021,Monitoramento de processos e Inspeção por amostragm,1/3/2021,28/2/2026,Vigente,CNPq,"R$ 39.600,00",ANTONIO FERNANDO BRANCO COSTA,IEPG,Coordenador,
PVDI218-2021 ,Utilização da Simulação Baseada em Agentes (SBA) combinada a Simulação a Eventos Discretos (SED) para o sequenciamento da produção de Sistemas Job Shop Flexíveis ,4/11/2021,8/10/2024,Vigente,FAPEMIG,"R$ 36.623,00",ALEXANDRE FERREIRA DE PINHO ,IEPG,Coordenador,
PVDI207-2021 ,Valorização de resíduo do processamento da cana-de-açúcar pela utilização da hemicelulose para a produção integrada de bioetanol no contexto de biorrefinaria por diferentes abordagens ,1/10/2021,30/9/2024,Vigente,FAPEMIG,"R$ 21.528,60",THAIS SUZANE MILESSI ESTEVES ,IRN,Coordenador,
PVDI215-2022 ,Aproveitamento Eficiente do Bagaço de Malte Utilizando Secador Solar ,1/1/2022,31/12/2023,Vigente,FAPEMIG,"R$ 7.408,94",Maisa Tonon Bitti Perazzini,IRN,Coordenador,
PIDI219-2021 ,"Estudo, Caracterização e otimização de materiais orgânicos que apresentam Fluorescência Atrasada Ativada Termicamente e Fofotoluminêscencia de Longa Duração ",9/11/2021,8/11/2024,Vigente,FAPEMIG,"R$ 9.000,00",ROBERTO SHIGUERU NOBUYASU JUNIOR ,IFQ,Coordenador,
PIDI203-2021 ,CRIAÇÃO DE PROGRAMA DE BOLSAS DE INICIAÇÃO CIENTÍFICA E DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO DO INSTITUTO DE FÍSICA E QUÍMICA ,9/9/2021,8/9/2023,Expirado,UNIFEI IFQ,"R$ 28.800,00",MARCELOS LIMA PERES ,IFQ,Coordenador,
PVDI206-2021 ,Aumento da Segurança e Desempenho de ARPs em Relação ao Controle de Voo ,22/10/2021,21/10/2024,Vigente,FAPEMIG,"R$ 28.971,34",Yohan Alí Díaz Méndez  ,IEM,Coordenador,
PVDI209-2021,LOGÍSTICA E TRANSPORTES NO CONTEXTO DO GREEN SUPPLY CHAIN MANAGEMENT E ECONOMIA CIRCULAR,1/7/2021,30/6/2024,Vigente,FAPEMIG,"R$ 36.331,18",RENATO DA SILVA LIMA,IEPG,Coordenador,
PVDI208-2021,Simulação e otimização de Sistemas Híbridos Isolados de Geração de Energia Elétrica com base em Energias Renováveis,1/11/2021,31/10/2023,Vigente,FAPEMIG,"R$ 32.760,00",Diego Mauricio Yepes Maya,IEM,Coordenador,
PVDI212-2021,Avaliação Do Desempenho De Um Sistema Híbrido De Painel Fotovoltaico E Bomba De Calor Para Aquecimento De Água Aproveitando A Irradiação Solar No Estado De Minas Gerais,15/11/2021,16/10/2023,Vigente,FAPEMIG,"R$ 27.560,00",JUAN JOSE GARCIA PABON,IEM,Coordenador,
PIDI211-2021,Efeito da temperatura e do campo magnético sobre o comportamento dinâmico de vigas sanduíche com núcleo colmeia preenchida por elastômero magneto reológico,27/10/2021,27/10/2024,Vigente,FAPEMIG,"R$ 20.848,44",Felipe de Souza Eloy,IEM,Coordenador,
PVDI216-2021,Mercados de Eletricidade Inteligentes: Modelagem Técnica-Econômica e Regulatória,1/12/2021,30/11/2024,Vigente,FAPEMIG,"R$ 45.460,00",BENEDITO DONIZETI BONATTO,ISEE,Coordenador,
PIDI224-2021,Atividades experimentais e laboratórios remotos: possibilidades e potencialidades para o Ensino de Ciências,11/11/2021,10/11/2023,Vigente,FAPEMIG,"R$ 38.091,66",THIAGO COSTA CAETANO,IFQ,Coordenador,
PVDI223-2021,Inclusões Diferenciais Envolvendo o Operador p(x)-Laplaciano,16/11/2021,16/11/2023,Vigente,FAPEMIG,"R$ 14.270,00",MARIZA STEFANELLO SIMSEN,IMC,Coordenador,
PVDI225-2021,SISTEMAS DINÂMICOS NÃO-LINEARES DE DIMENSÃO INFINITA,12/11/2021,12/11/2024,Vigente,FAPEMIG,"R$ 15.478,12",JACSON SIMSEN,IMC,Coordenador,
PVDI222-2021,Sistema de Alerta de Inundações em Bacias Hidrográficas de Pequenas Escala sob Influência de Expansão Urbana,11/11/2021,10/11/2024,Vigente,FAPEMIG,"R$ 65.860,00",Benedito Cláudio da Silva,IRN,Coordenador,
PVDI214-2022,Valorização de resíduos agroindustriais de açaí como biomassa para bioenergia: estudo da secagem por leito fluidizado,17/12/2021,17/12/2023,Vigente,FAPEMIG,"R$ 7.058,75",HUGO PERAZZINI,IRN,Coordenador,
PVDI228-2022,Aprendizagem ativa crítica no ensino da disciplina equações diferenciais,1/3/2022,28/2/2025,Vigente,CNPq,"R$ 39.600,00",Fabrina Bolzan Martins,IRN,Coordenador,
PVDI230-2022,"A Educação em Ciências e os Processos de Significação sobre a Temática Ambiental: um estudo a partir de parcerias entre escolas, empresas e setores organizados da sociedade civil",1/3/2022,28/2/2025,Vigente,CNPq,"R$ 39.600,00",Luciano Fernandes Silva,IFQ,Coordenador,
PIDI241-2022,Desenvolvimento de sistemas fotocrômicos e suas aplicações para o sensoriamento,2/1/2022,1/1/2025,Vigente,FAPEMIG,"R$ 73.140,00",Frederico Barros de Sousa,IFQ,Coordenador,
PVDI240-2021,Melhoramento do potencial energético de biogás da (co)digestão anaeróbia de resíduos sólidos orgânicos como incentivo às fontes renováveis de energias: pré-tratamento do substrato e co(digestão) visando ao aproveitamento do hidrogênio,21/12/2021,21/12/2024,Vigente,FAPEMIG,"R$ 50.370,27",REGINA MAMBELI BARROS,IRN,Coordenador,
PVDI231-2022,Valorização energética de biomassa residual para precursores de alto valor energético,16/3/2022,31/3/2025,Vigente,CNPq,"R$ 62.400,00",Diego Mauricio Yepes Maya,IEM,Coordenador,
PVDI243-2021,DETERMINAÇÃO DE PARÂMETROS DE AGLOMERADOS ABERTOS COM DADOS DO SATÉLITE GAIA,1/3/2021,28/2/2024,Vigente,CNPq,"R$ 39.600,00",WILTON DA SILVA DIAS,IFQ,Coordenador,
PVDI226-2022,Experimentos de Física controlados remotamente como proposta para uma aprendizagem significativa,1/3/2022,28/2/2025,Vigente,CNPq,"R$ 33.200,00",Mikael Frank Rezende Junior,IFQ,Coordenador,
PVDI254-2022,Técnicas de Inteligência Artiﬁcial Aplicadas na Análise de Estabilidade de Tensão em Sistemas Elétricos de Potência com Redes Inteligentes,13/3/2022,11/4/2024,Vigente,FAPEMIG,"R$ 50.400,00",BENEDITO ISAIAS LIMA FULY,,Coordenador,
,Sistema hidro-eletro-mecânico de identificação de infestação de L. fortunei (mexilhão dourado) na sucção de bombas centrifugas - “EDITAL 002/2018 - PROGRAMA PESQUISADOR MINEIRO - PPM XII” - “EDITAL 002/2018 - PROGRAMA PESQUISADOR MINEIRO - PPM XII”,28/3/2022,28/3/2024,Vigente,FAPEMIG,"R$ 24.000,00",CARLOS BARREIRA MARTINEZ,IEPG,Coordenador,
PVDI295-2019,DETERMINAÇÃO DOS PARÂMETROS DE CÉLULAS SOLARES: UMA NOVA ABORDAGEM DE AJUSTES PELO MÉTODO DE OTIMIZAÇÃO GLOBAL,16/10/2019,15/5/2025,Vigente,FAPEMIG,"R$ 28.045,50",Adhimar Flávio Oliveira,IFQ,Coordenador,Prorrogado até 15/05/2025 
PIDI296-2022,Efeitos de vácuo quântico na presença de fontes de campo e potenciais externos,1/3/2022,28/2/2025,Vigente,CNPq,"R$ 39.600,00",Fabricio Augusto Barone Rangel,IFQ,Coordenador,
PVDI297-2022,Análise numérica e experimental de microgeradores eólicos para aplicações em regiões remotas no Brasil,1/7/2022,28/2/2025,Vigente,FAPEMIG,"R$ 39.999,50",ANGIE LIZETH ESPINOSA SARMIENTO,IEM,Coordenador,
PVDI257-2022,Aprimoramento de Cerâmicas Termoelétricas para Conversão de Energia,1/8/2022,31/7/2024,Vigente,,,Daniel Thomazini,IEM,Coordenador,
PVDI285-2022,Produção de compósito cimentício com diferentes adições de óxido de grafeno,1/8/2022,31/7/2024,Vigente,,,GEOVANI RODRIGUES,IEM,Coordenador,
PVDI284-2022,"Metamateriais Elastodinâmicos Projetados para a Atenuação de Vibrações em Estruturas Civis, Mecânicas e Aeronáuticas",1/8/2022,31/7/2024,Vigente,,,Jesús Antonio García Sánchez,IEM,Coordenador,
PIDI270-2022,Avaliação de compósitos de fios trançados submetidos à fadiga torcional,1/8/2022,31/7/2024,Vigente,,,RENATA NEVES PENHA,IEM,Coordenador,
PIDI279-2022,Desenvolvimento de recursos baseados na tecnologia da realidade virtual para formação de alunos dos cursos de engenharia,1/8/2022,31/7/2024,Vigente,,,DENISE RANSOLIN SORANSO,IEPG,Coordenador,
PVDI238-2022,"Recomendações e demonstrações de práticas para melhoria da compreensibilidade, validade e aplicabilidade da modelagem de processos de negócio",1/8/2022,31/7/2024,Vigente,,,FABIANO LEAL,IEPG,Coordenador,
PIDI250-2022,Avaliação de Usabilidade de Sistemas,1/8/2022,31/7/2024,Vigente,,,ANA PAULA SIQUEIRA SILVA DE ALMEIDA,IESTI,Coordenador,
PVDI275-2022,Framework para armazenamento orientados a colunas,1/8/2022,31/7/2024,Vigente,,,ENZO SERAPHIM,IESTI,Coordenador,
PVDI277-2022,Cibersegurança e análise de vulnerabilidades em dispositivos IoT,1/8/2022,31/7/2024,Vigente,,,OTÁVIO DE SOUZA MARTINS GOMES,IESTI,Coordenador,
PVDI259-2022,Aplicação de Workflows Científicos no contexto de Continuum of Computing,1/8/2022,31/7/2024,Vigente,,,EDVARD MARTINS DE OLIVEIRA,IESTI,Coordenador,
PVDI255-2022,"Análise das potencialidades e fragilidades socioambientais em Unidades de Conservação na Mata Atlântica: uso público, indicadores de gestão, percepção ambiental e conflitos.",1/8/2022,31/7/2024,Vigente,,,DANIELA ROCHA TEIXEIRA RIONDET COSTA,IRN,Coordenador,
PIDI290-2022,USO DA ALPORQUIA NA PROPAGAÇÃO DE ESPÉCIES PARA A RECUPERAÇÃO DE ÁREAS DEGRADADAS,1/8/2022,31/7/2024,Vigente,,,HISAIAS DE SOUZA ALMEIDA,IRN,Coordenador,
PIDI268-2022,Avaliação do potencial energético e viabilidade financeira da instalação de turbinas hidrocinéticas em rios do norte do Brasil,1/8/2022,31/7/2024,Vigente,,,IVAN FELIPE SILVA DOS SANTOS,IRN,Coordenador,
PVDI252-2022,"NEGACIONISMO, EDUCAÇÃO EM CIÊNCIAS E ATUAÇÃO DOCENTE: INVESTIGANDO COMPREENSÕES DE PROFESSORES DE CIÊNCIAS E BIOLOGIA",1/8/2022,31/7/2024,Vigente,,,JANAINA ROBERTA DOS SANTOS,IRN,Coordenador,
PIDI269-2022,Projeto de conforto acústico usando Metamateriais,1/8/2022,31/7/2024,Vigente,,,Paulo César Gonçalves,IRN,Coordenador,
PIDI271-2022,"Revisão taxonômica das espécies de Hapsodrilus (Coleoptera, Elateridae, Pyrophorini)",1/8/2022,31/7/2024,Vigente,,,Simone Policena Rosa ,IRN,Coordenador,
PVDI233-2022,Desenvolvimento de Sistema de Software para Treinamento em Simulador de Helicoptero,1/8/2022,31/7/2024,Vigente,,,ALEXANDRE CARLOS BRANDAO RAMOS,IMC,Coordenador,
PVDI280-2022,Oncologia Matemática,1/8/2022,31/7/2024,Vigente,,,Artur César Fassoni,IMC,Coordenador,
PIDI278-2022,"Jogos Digitais Inclusivos: teorias, métodos e ferramentas de apoio",1/8/2022,31/7/2024,Vigente,,,ELISA DE CASSIA SILVA RODRIGUES,IMC,Coordenador,
PVDI260-2022,Teoria de regularidade para modelos não lineares e problemas de fronteira livre,1/8/2022,31/7/2024,Vigente,,,GIANE CASARI RAMPASSO,IMC,Coordenador,
PVDI253-2022,Invariantes topológicos para o estudo de sistemas integráveis e folheações,1/8/2022,31/7/2024,Vigente,,,INGRID SOFIA MEZA SARMIENTO,IMC,Coordenador,
PIDI251-2022,A dinâmica das órbitas periódicas da ferradura de Smale,1/8/2022,31/7/2024,Vigente,,,JUAN VALENTIN MENDOZA MOGOLLON,IMC,Coordenador,
PVDI272-2022,Estudo de equações do tipo Schrödinger sobre variedades Riemannianas compactas,1/8/2022,31/7/2024,Vigente,,,MARCELO APARECIDO CABRAL NOGUEIRA,IMC,Coordenador,
PIDI289-2022,Otimização Combinatória para Classificação Interpretável,1/8/2022,31/7/2024,Vigente,,,PEDRO HENRIQUE DEL BIANCO HOKAMA,IMC,Coordenador,
PVDI294-2022,Estudo e pesquisa nas equações de Mathieu e de Mathieu modificada,1/8/2022,31/7/2024,Vigente,,,Ricardo Iván Medina Bascur,IMC,Coordenador,
PIDI239-2022,Síntese verde de nanopartículas de dióxido de titânio para aplicação em células solares DSSC,1/8/2022,31/7/2024,Vigente,,,Adhimar Flávio Oliveira,IFQ,Coordenador,
PVDI242-2022,Narrativas sobre mídias digitais e redes sociais: um olhar para a educação científica e o letramento midiático na cultura digital,1/8/2022,31/7/2024,Vigente,,,ALESSANDRA RODRIGUES,IFQ,Coordenador,
PIDI236-2022,O BANCO DE SINAIS USADO COMO FERRAMENTA FACILITADORA NA APRENDIZAGEM PARA ALUNOS OUVINTES NA DISCIPLINA DE LIBRAS,1/8/2022,31/7/2024,Vigente,,,ANA CAROLINA SALES OLIVEIRA,IFQ,Coordenador,
PVDI237-2022,"PROPRIEDADES ELETRÔNICAS DE SEMICONDUTORES ORGÂNICOS, DISPOSITIVOS FLEXÍVEIS E ELETRÔNICOS VESTÍVEIS",1/8/2022,31/7/2024,Vigente,,,CARLA PATRICIA LACERDA RUBINGER,IFQ,Coordenador,
PVDI288-2022,"APLICAÇÃO DA QUÍMICA COMPUTACIONAL AO DESENVOLVIMENTO DE COMPOSTOS POTENCIALMENTE BIOATIVOS: planejamento racional, análise conformacional, docking e dinâmica molecular, QM/MM e investigação de orbitais de fronteira",1/8/2022,31/7/2024,Vigente,,,DANIEL HENRIQUES SOARES LEAL,IFQ,Coordenador,
PVDI274-2022,Novos aceleradores de vulcanização da borracha baseados em complexos metálicos com ligantes ditiocarbimatos,1/8/2022,31/7/2024,Vigente,,,EDER DO COUTO TAVARES,IFQ,Coordenador,
PIDI256-2022,"Cromismo: Estudo computacional de efeitos de misturas de solventes, temperatura e radiação.",1/8/2022,31/7/2024,Vigente,,,Juliana Fedoce Lopes,IFQ,Coordenador,
PVDI281-2022,Evolução química de galáxias,1/8/2022,31/7/2024,Vigente,,,OSCAR CAVICHIA DE MORAES,IFQ,Coordenador,
PIDI262-2022,Fotofísica de moléculas orgânicas,1/8/2022,31/7/2024,Vigente,,,ROBERTO SHIGUERU NOBUYASU JUNIOR,IFQ,Coordenador,
PVDI235-2022,As narrativas dos professores sobre os métodos de ensino e as tramas da crise na educação básica – o ensino médio,1/8/2022,31/7/2024,Vigente,,,ROGERIO RODRIGUES,IFQ,Coordenador,
PIDI293-2022,Estudo das condições de síntese de cargas vítreas do sistema B2O3-Al2O3-SiO2 para aplicações odontológicas.,1/8/2022,31/7/2024,Vigente,,,ROSSANO GIMENES,IFQ,Coordenador,
PVDI304-2020,DESENVOLVIMENTO DE LIGAS DO SISTEMA Al-Fe e Nb-Al PELO PROCESSO DE MECHANICAL ALLOYING,1/3/2020,1/3/2023,Expirado,CNPq,"R$ 39.600,00",GILBERT SILVA,IFQ,Coordenador,Arquivado - Relatório final entregue
PVDI301-2022,Correlação entre rota de processamento de ligas de alumínio com resistência a corrosão e a evolução de hidrogênio,1/3/2022,28/2/2025,Vigente,CNPq,"R$ 39.600,00",MIRIAN DE LOURDES NORONHA MOTTA MELO,IEM,Coordenador,
PVDI300-2022,Investigação e caracterização das construções metodológicas de grupos de planejamento conjunto empreendidas por docentes do ensino superior de ciências da natureza,1/6/2022,28/2/2025,Vigente,FAPEMIG,"R$ 28.707,00",JOAO RICARDO NEVES DA SILVA,IFQ,Coordenador,
PIDI299-2020,Otimização da operação de usinas hidrelétricas através da minimização das perdas no processo de geração,1/7/2022,28/2/2025,Vigente,Energia Sustentável do Brasil S/A,"R$ 2.042.312,17",GUILHERME SOUSA BASTOS,IESTI,Coordenador,
PIDI305-2020,TOCO_DR Observatório de teoria da mudança em resiliência a desastres.,1/5/2020,31/12/2023,Vigente,FAPESP,"R$ 196.542,43",MARINA BATALINI DE MACEDO,IRN,Coordenador Local,Projeto prorrogado até 31/12/2023
PIDI309-2022,Simulação e previsão de vazões para bacias hidrográficas do Estado de Minas Gerais com base em modelo hidrológico distribuído e previsões de modelos atmosféricos,5/8/2022,5/8/2024,Vigente,FAPEMIG,"R$ 76.300,00",BENEDITO CLAUDIO DA SILVA,IFQ,Coordenador,
PVDI306-2022,Proposta de Apoio à Formação de Mestres para o Fortalecimento do Programa de Pós-graduação em Engenharia Mecânica da UNIFEI,8/8/2022,31/8/2027,Vigente,FAPEMIG,"R$ 72.000,00",SANDRO METREVELLE MARCONDES DE LIMA E SILVA,IEM,Coordenador,
PVDI307-2021,ESTUDO COMPREENSIVO DO TRANSPORTE RODOVIÁRIO DE CARGAS BRASILEIRO PARA AUMENTO DE EFICIÊNCIA EM UM MARKETPLACE LOGÍSTICO,7/12/2021,7/12/2023,Vigente,TRUCKPAD TECNOLOGIA E LOGÍSTICA S.A,"R$ 21.600,00",RENATO DA SILVA LIMA,IEPG,Coordenador,
PIDI298-2022,COMPÓSITO POLIMÉRICO BIOINSPIRADO NO OURIÇO DA CASTANHA DO PARÁ (BERTHOLLETIA EXCELSA) DE ELEVADA TENACIDADE,25/6/2022,24/6/2025,Vigente,FAPEMIG,"R$ 18.550,28",Marília Sonego,IEM,Coordenador,
PIDI311-2023,Estudo da texturização a laser na adesão de uma junta híbrida metal-compósito,13/9/2022,12/9/2025,Vigente,FAPEMIG,"R$ 65.365,86",RENATA NEVES PENHA,IEM,Coordenador,
PVDI312-2022,Ensino de Ciências e Matemática mediado por tecnologias: Um estudo sobre inclusão na microrregião de Itajubá,16/3/2022,31/3/2025,Vigente,CNPq,"R$ 29.600,00",DENISE PEREIRA DE ALCANTARA FERRAZ,IFQ,Coordenador,
PVDI314-2023,Aprimoramento de Cerâmicas Termoelétricas para Conversão de Energia: Aspectos Teóricos e Experimentais,1/3/2023,28/2/2026,Vigente,FAPEMIG,"R$ 94.528,68",MARIA VIRGINIA GELFUSO,IEM,Coordenador,
PVDI315-2022,A Sustentabilidade da Mobilidade Urbana em Cidades Mineiras no Contexto atual e de Pós Pandemia,13/10/2022,1/1/2026,Vigente,FAPEMIG,"R$ 61.979,59",JOSIANE PALMA LIMA,IEPG,Coordenador,
"PVDI316-2021
",BIG DATA E ANÁLISE ESPACIAL NA INTEGRAÇÃO DA MICROMOBILIDADE E TRANSPORTE PÚBLICO URBANO NO CONTEXTO DE SMART CITIES,23/9/2021,22/9/2025,Vigente,B2ML SISTEMAS LTDA,"R$ 32.400,00",JOSIANE PALMA LIMA,IEPG,Coordenador,
PIDI319-2023,Vivência Universitária em Empreendedorismo e Inovação (VUEI) – Campus Itajubá,21/12/2022,20/12/2023,Vigente,Secretaria de Estado e Desenvolvimento Econômico de Minas Gerais - SEDE,"R$ 44.280,00",ANDREA APARECIDA DA COSTA MINEIRO,IEPG,Coordenador,
PIDI317-2022,AVALIAÇÃO TEÓRICO-EXPERIMENTAL DA PRODUÇÃO E USO DE HIDROGÊNIO VERDE EM MINAS GERAIS,9/6/2022,9/6/2025,Vigente,FAPEMIG,"R$ 1.265.983,00",JOSE CARLOS ESCOBAR PALACIO,IEPG,Coordenador,
PVDI328-2022,Integração de sistema hibrido Heliotérmico-Biomassa visando o uso de sistemas armazenamento de energia,7/12/2022,31/12/2026,Vigente,CNPq,"R$ 751.400,00",VLADIMIR RAFAEL MELIAN COBAS,IEM,Coordenador,
PIDI327-2022,Materiais Poliméricos Associados à Lantanídeos: Aplicações em Materiais Inteligentes,7/12/2022,7/2/2025,Vigente,FAPEMIG,"R$ 978.995,08",FREDERICO BARROS DE SOUSA,IFQ,Coordenador,
PVDI331-2022,Laboratório Nacional para Estudos Micrometeorológicos e Metodológicos Aplicado ao Aproveitamento Energético Offshore (LabWind),16/12/2022,31/12/2026,Vigente,CNPq,"R$ 680.000,00",ARCILAN TREVENZOLI ASSIREU,IRN,Coordenador,
PVDI347-2023,Investigando a massa de aglomerados abertos com GAIA DR3,1/3/2023,28/2/2026,Vigente,CNPq,"R$ 39.600,00",HEKTOR STHENOS ALVES MONTEIRO,IFQ,Coordenador,
PVDI346-2023,Projeto de Otimização de Turbina Axial de Ultra Baixa Queda,11/12/2022,31/12/2026,Vigente,CNPq,"R$ 503.900,00",RAMIRO GUSTAVO RAMIREZ CAMACHO,IEM,Coordenador,
PVDI348-2021,Desenvolvimento de Dispositivos CMOS de Baixo Consumo e Baixa Potência para Aplicações Médicas,1/3/2021,28/2/2025,Vigente,CNPq,"R$ 48.000,00",ROBSON LUIZ MORENO,IESTI,Coordenador,
PVDI353-2023,Estudo e simulação de módulo de gerenciamento energético para sistema de produção de H2,4/7/2022,4/5/2024,Vigente,Instituto GNARUS,"R$ 88.000,00",ROBSON BAUWELZ GONZATTI,IESTI,Coordenador,
PVDI349-2022,Pesquisa e Desenvolvimento de um Sistema Integrado de Aquisição de Sinais de EEG em CMOS,1/3/2022,28/2/2025,Vigente,CNPq,"R$ 39.600,00",TALES CLEBER PIMENTA,IESTI,Coordenador,
PVDI352-2022,GERAÇÃO DE ELETRICIDADE A PARTIR DA GASEIFICAÇÃO DE LODO SANITÁRIO E ENERGIA SOLAR TÉRMICA,1/3/2022,28/2/2025,Vigente,CNPq,"R$ 39.600,00",OSVALDO JOSE VENTURINI,IEM,Coordenador,
PVDI350-2023,Desenvolvimento de um Dispositivo Eletrônico com Sistema Especialista Embarcado para Aquisição e Análise de Diagnóstico de Sinais Eletromecânicos.,3/10/2022,3/10/2023,Vigente,NEPEN,"R$ 81.000,00",RAMIRO GUSTAVO RAMIREZ CAMACHO,IEM,Coordenador,
PVDI357-2022,Uso da Inteligência Artificial Aplicada ao Projeto Mecânico,9/12/2022,31/12/2023,Vigente,CNPq,"R$ 10.000,00",GUILHERME FERREIRA GOMES,IEM,Coordenador,
PVDI358-2022,Monitoramento da integridade estrutural: detecção e identificação de delaminações em estruturas aeronáuticas por meio decorrelação digital de imagens,18/11/2022,17/11/2025,Vigente,CNPq,"R$ 380.000,00",GUILHERME FERREIRA GOMES,IEM,Coordenador,
PVDI359-2023,Técnicas Avançadas de Otimização Mono e Multiobjetivo Aplicadas ao Projeto de Estruturas Mecânica,1/3/2023,28/2/2026,Vigente,CNPq,"R$ 39.600,00",GUILHERME FERREIRA GOMES,IEM,Coordenador,
PVDI369-2023,Reciclagem do aço Vanadis 8 pelo processo de metalurgia do pó utilizando a moagem de alta energia,1/3/2023,28/2/2026,Vigente,CNPq,"R$ 39.600,00",GILBERT SILVA,IEM,Coordenador,
PVDI378-2023,Modelos análogos da gravitação e ondas gravitacionais,01/03/2023 a 28/02/2026,28/2/2026,Vigente,CNPq,"R$ 39.600,00",EDUARDO HENRIQUE SILVA BITTENCOURT,IFQ,Coordenador,
PVDI381-2023,Logística e Transportes: Da Sustentabilidade para a Economia Circular,1/3/2023,28/2/2027,Vigente,CNPq,"R$ 115.200,00",RENATO DA SILVA LIMA,IEPG,Coordenador,
PIDI382-2020,Análise Econômica de Decisões e de Risco na seleção de projetos de geração de energia renovável na matriz de energia elétrica brasileira,1/3/2021,28/2/2024,Vigente,CNPq,"R$ 39.600,00",EDSON DE OLIVEIRA PAMPLONA,IEPG,Coordenador,
PVDI386-2022,Desenvolvimento de materiais e processos para impressão 3D de peças em compósito fibra de carbono contínuo/termoplástico de qualidade aeronáutica,6/12/2022,31/12/2025,Vigente,CNPq,"R$ 746.400,00",ANTONIO CARLOS ANCELOTTI JUNIOR,IEM,Coordenador,
PIDI391-2023,"IMPACTOS DA BIOINCRUSTAÇÃO DE Limnoperna fortunei (DUNKER, 1857) NA GERAÇÃO HIDRELÉTRICA BRASILEIRA",1/3/2023,28/2/2027,Vigente,CNPq,"R$ 67.200,00",CARLOS BARREIRA MARTINEZ,IEM,Coordenador,
PVDI361-2023,Análise de viabilidade de projeto e implementação de processadores RISC-V em FPGA,1/6/2023,31/5/2026,Vigente,,,GUSTAVO DELLA COLLETTA,IESTI,Coordenador,
PVDI363-2023,"Estudo e implementação de balanceamento ""sensorless"" das tensões de submódulos em topologias modulares multiníveis",1/6/2023,31/5/2026,Vigente,,,WILSON CÉSAR SANT`ANA,IESTI,Coordenador,
PVDI368-2023,Desenvolvimento de sistemas de modulação com alta eficiência para comunicações de longas distâncias,1/6/2023,31/5/2026,Vigente,,,DECIO RENNO DE MENDONCA FARIA,IESTI,Coordenador,
PIDI372-2023,Investigação de limites teóricos na multiplicação de matrizes com enfoque em geometria algébrica e aprendizado de máquina,1/6/2023,31/5/2026,Vigente,,,RICK ANTONIO RISCHTER,IMC,Coordenador,
PIDI374-2023,Avaliação de risco ambiental de contaminantes presentes na água e no solo: Uma abordagem integrativa e ecologicamente relevante,1/6/2023,31/5/2026,Vigente,,,DANIEL CLEMENTE VIEIRA REGO DA SILVA,IRN,Coordenador,
PVDI408-2022,Correlação entre rota de processamento de ligas de alumínio com resistência a corrosão e a evolução de hidrogênio - APQ 01318-22,20/9/2022,22/9/2025,Vigente,FAPEMIG,"R$ 79.606,00",MIRIAN DE LOURDES NORONHA MOTTA MELO,IEM,Coordenador,
PVDI407-2023,"Projeto e desenvolvimento de um equipamento para preparação de substratos para produção de cogumelos, com ênfase nos princípios da economia circular (EC) e projeto para manufatura e montagem (DFMA) - Chamada CNPq Nº 08/2022 – Bolsa de Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora - DT",1/3/2023,27/2/2026,Vigente,CNPq,"R$ 39.600,00",CARLOS HENRIQUE PEREIRA MELLO,IEPG,Coordenador,
PVDI362-2023,Análise da relação do envelhecimento do para-raios sobre a distância elétrica de proteção,1/6/2023,31/5/2026,Vigente,,,CREDSON DE SALLES,ISEE,Coordenador,
PVDI333-2023,Aprimoramento dos geradores de impulso do LAT-EFEI,1/6/2023,31/5/2026,Vigente,,,ESTACIO TAVARES WANDERLEY NETO,ISEE,Coordenador,
PVDI336-2023,"REGIONALIDADES, ECONOMIA E CULTURA: Reflexões sobre o desenvolvimento do território do Sul de Minas Gerais",1/6/2023,31/5/2026,Vigente,,,CARLOS ALBERTO MAXIMO PIMENTA,IEPG,Coordenador,
