Código,Data Início,Data Fim,TÍTULO DO PROJETO,Tipo,Órgão financiador, Coordenador/Coordenador Local,UA Coordenador,Situação
PVDI706-2025,18/11/2025,30/11/2028,Mapeamento de vulnerabilidades de populações e ecossistemas brasileiros às mudanças climáticas,Projeto com financiamento externo,CNPq,ROGER RODRIGUES TORRES,IRN,Vigente
PIDI661-2025,01/11/2025,31/10/2028,Entre Saberes e Fazeres: Formação Docente e a Prática Curricular em Ciências nos Anos Iniciais do Ensino Fundamental,Projeto sem financiamento externo,Não possui,MAYRA DA SILVA CUTRUNEO CESCHINI,IRN,Vigente
PVDI707-2025,20/11/2025,20/11/2028,Otimização e Controle de uma Bomba de Calor com Painel Fotovoltaico-Térmico por Expansão Direta para Aquecimento de Água: Estudo de caso no Brasil,Projeto com financiamento externo,CAPES,JUAN JOSE GARCIA PABON,IEM,Vigente
PVDI701-2023,30/01/2023,31/01/2028,"MATERIAIS FERROICOS PARA CONVERSORES DE ENERGIA: Síntese, Propriedades, Fenomenologia e Aplicações- MATFERRCE",Projeto com financiamento externo,CNPq,MARIA VIRGINIA GELFUSO,IEM,Vigente
PVDI708-2024,13/09/2024,30/09/2027,Turbinas Pelton para escoamentos carregados de sedimentos – Uma abordagem para adaptação às mudanças climáticas no setor hidrelétrico (PeltWear),Projeto com financiamento externo,CNPq,RAMIRO GUSTAVO RAMIREZ CAMACHO,IEM,Vigente
PIDI654-2025,01/11/2025,31/10/2028,Evolução química de galáxias espirais,Projeto sem financiamento externo,Não possui,OSCAR CAVICHIA DE MORAES,IFQ,Vigente
PIDI688-2025,01/11/2025,31/10/2028,Efeitos quânticos na presença de fontes de campo e potenciais externos,Projeto sem financiamento externo,Não possui,FABRICIO AUGUSTO BARONE RANGEL,IFQ,Vigente
PVDI644-2025,01/11/2025,31/10/2028,Investigando sinais de teorias de gravitação alternativa com astronomia multimensageira: efeito Gertsenshtein–Zel’dovich e ondas gravitacionais,Projeto sem financiamento externo,Não possui,ALAN BENDASOLI PAVAN,IFQ,Vigente
PIDI674-2025,01/11/2025,31/10/2028,Desenvolvimento e caracterização de sensor linear para espectroscopia óptica baseada em CCD/CMOS.,Projeto sem financiamento externo,Não possui,FABIO NAKAGOMI,IFQ,Vigente
PVDI682-2025,01/11/2025,31/10/2028,"PLANEJAMENTO DE NOVOS COMPOSTOS INIBIDORES DA ACETILCOLINESTERASE ASSISTIDA POR QUÍMICA COMPUTACIONAL: compostos naturais como protótipos, análise conformacional, docking molecular e dinâmica molecular",Projeto sem financiamento externo,Não possui,DANIEL HENRIQUES SOARES LEAL,IFQ,Vigente
PIDI683-2025,01/11/2025,31/10/2028,Aspectos Formais e Modelos Análogos de Quebra de Simetria de Lorentz,Projeto sem financiamento externo,Não possui,GABRIEL FLORES HIDALGO,IFQ,Vigente
PVDI712-2025,01/08/2025,31/07/2028,Circuitos CMOS analógicos de baixo consumo para uso em sistemas neuromórficos e aplicações biomédicas,Projeto sem financiamento externo,Não possui,ROBSON LUIZ MORENO,IESTI,Vigente
PIDI646-2025,01/11/2025,31/10/2028,AVALIAÇÃO DO CICLO DE VIDA APLICADA À PRODUÇÃO DE CACHAÇA,Projeto sem financiamento externo,Não possui,MARIA LUIZA GRILLO RENO,IEM,Vigente
PIDI655-2025,01/11/2025,31/10/2028,Análise Comparativa de Máquinas PM BLDC de Fluxo Axial Tipo Torus Ranhurado e Tipo Torus Não Ranhurado,Projeto sem financiamento externo,Não possui,RICARDO ELIAS CAETANO,ISEE,Vigente
PVDI660-2025,01/11/2025,31/10/2028,Estudo de prospecção de mercado para o hidrogênio verde em suas diversas aplicações.,Projeto sem financiamento externo,Não possui,EDUARDO CRESTANA GUARDIA,ISEE,Vigente
PVDI690-2025,01/11/2025,31/10/2028,"Desenvolvimento, Implementação e Validação de um Rastreador Solar de Duplo Eixo para Formação Acadêmica Integrada",Projeto sem financiamento externo,Não possui,THIAGO CLE DE OLIVEIRA,ISEE,Vigente
PIDI658-2025,01/11/2025,31/10/2028,Generalizações de Sistemas Topologicamente Hiperbólicos,Projeto sem financiamento externo,Não possui,WELINGTON DA SILVA CORDEIRO,IMC,Vigente
PVDI681-2025,01/11/2025,31/10/2028,"AGROECOLOGIA E AGRICULTURA FAMILIAR NO SUL DE MINAS GERAIS: UMA ANÁLISE INTEGRADA DA QUALIDADE DO SOLO, PRÁTICAS DE MANEJO E SUSTENTABILIDADE DOS AGROECOSSISTEMAS",Projeto sem financiamento externo,Não possui,ELIANE GUIMARAES PEREIRA MELLONI,IRN,Vigente
PVDI685-2025,01/11/2025,31/10/2028,A transversalidade do trabalho e ambiente no processo de envelhecimento e saúde,Projeto sem financiamento externo,Não possui,LUIZ FELIPE SILVA,IRN,Vigente
PIDI659-2025,01/11/2025,31/10/2028,Hidroclimatologia atual e estudo de eventos extremos na bacia do rio Grande: uma abordagem observacional e de modelagem chuva-vazão,Projeto sem financiamento externo,Não possui,LEONARDO MORENO DOMINGUES,IRN,Vigente
PIDI670-2025,01/11/2025,31/10/2028,Análise do Quantitativo de Servidores Negros na Trajetória de 111 Anos da Universidade Federal de Itajubá : Impactos das Políticas de Ações Afirmativas,Projeto sem financiamento externo,Não possui,HELOISA HELENA DOS SANTOS AMANCIO,OUV,Vigente
PVDI715-2025,31/10/2025,31/10/2028,TESTES PREDITIVOS DE BOP - ROTA 2,Projeto com financiamento externo,Projetos de P&D registrados na Proex,GUILHERME FERREIRA GOMES,IMC,Vigente
