Código,Título do Projeto,Início,Término,Status,Financiador,Recursos Externos ,Equipe,Instituto Vinculado,Função (Discente/ Coordenador/Docente)
PVDI284-2022,"Metamateriais Elastodinâmicos Projetados para a Atenuação de Vibrações em Estruturas Civis, Mecânicas e Aeronáuticas",1/8/2022,31/7/2024,Vigente,,,Jesús Antonio García Sánchez,IEM,Coordenador
PIDI270-2022,Avaliação de compósitos de fios trançados submetidos à fadiga torcional,1/8/2022,31/7/2024,Vigente,,,RENATA NEVES PENHA,IEM,Coordenador
PIDI279-2022,Desenvolvimento de recursos baseados na tecnologia da realidade virtual para formação de alunos dos cursos de engenharia,1/8/2022,31/7/2024,Vigente,,,DENISE RANSOLIN SORANSO,IEPG,Coordenador
PVDI238-2022,"Recomendações e demonstrações de práticas para melhoria da compreensibilidade, validade e aplicabilidade da modelagem de processos de negócio",1/8/2022,31/7/2024,Vigente,,,FABIANO LEAL,IEPG,Coordenador
PIDI250-2022,Avaliação de Usabilidade de Sistemas,1/8/2022,31/7/2024,Vigente,,,ANA PAULA SIQUEIRA SILVA DE ALMEIDA,IESTI,Coordenador
PVDI275-2022,Framework para armazenamento orientados a colunas,1/8/2022,31/7/2024,Vigente,,,ENZO SERAPHIM,IESTI,Coordenador
PVDI277-2022,Cibersegurança e análise de vulnerabilidades em dispositivos IoT,1/8/2022,31/7/2024,Vigente,,,OTÁVIO DE SOUZA MARTINS GOMES,IESTI,Coordenador
PVDI259-2022,Aplicação de Workflows Científicos no contexto de Continuum of Computing,1/8/2022,31/7/2024,Vigente,,,EDVARD MARTINS DE OLIVEIRA,IESTI,Coordenador
PVDI255-2022,"Análise das potencialidades e fragilidades socioambientais em Unidades de Conservação na Mata Atlântica: uso público, indicadores de gestão, percepção ambiental e conflitos.",1/8/2022,31/7/2024,Vigente,,,DANIELA ROCHA TEIXEIRA RIONDET COSTA,IRN,Coordenador
PIDI290-2022,USO DA ALPORQUIA NA PROPAGAÇÃO DE ESPÉCIES PARA A RECUPERAÇÃO DE ÁREAS DEGRADADAS,1/8/2022,31/7/2024,Vigente,,,HISAIAS DE SOUZA ALMEIDA,IRN,Coordenador
PIDI268-2022,Avaliação do potencial energético e viabilidade financeira da instalação de turbinas hidrocinéticas em rios do norte do Brasil,1/8/2022,31/7/2024,Vigente,,,IVAN FELIPE SILVA DOS SANTOS,IRN,Coordenador
PVDI252-2022,"NEGACIONISMO, EDUCAÇÃO EM CIÊNCIAS E ATUAÇÃO DOCENTE: INVESTIGANDO COMPREENSÕES DE PROFESSORES DE CIÊNCIAS E BIOLOGIA",1/8/2022,31/7/2024,Vigente,,,JANAINA ROBERTA DOS SANTOS,IRN,Coordenador
PIDI269-2022,Projeto de conforto acústico usando Metamateriais,1/8/2022,31/7/2024,Vigente,,,Paulo César Gonçalves,IRN,Coordenador
PIDI271-2022,"Revisão taxonômica das espécies de Hapsodrilus (Coleoptera, Elateridae, Pyrophorini)",1/8/2022,31/7/2024,Vigente,,,Simone Policena Rosa ,IRN,Coordenador
PVDI233-2022,Desenvolvimento de Sistema de Software para Treinamento em Simulador de Helicoptero,1/8/2022,31/7/2024,Vigente,,,ALEXANDRE CARLOS BRANDAO RAMOS,IMC,Coordenador
PVDI280-2022,Oncologia Matemática,1/8/2022,31/7/2024,Vigente,,,Artur César Fassoni,IMC,Coordenador
PIDI278-2022,"Jogos Digitais Inclusivos: teorias, métodos e ferramentas de apoio",1/8/2022,31/7/2024,Vigente,,,ELISA DE CASSIA SILVA RODRIGUES,IMC,Coordenador
PVDI260-2022,Teoria de regularidade para modelos não lineares e problemas de fronteira livre,1/8/2022,31/7/2024,Vigente,,,GIANE CASARI RAMPASSO,IMC,Coordenador
PVDI253-2022,Invariantes topológicos para o estudo de sistemas integráveis e folheações,1/8/2022,31/7/2024,Vigente,,,INGRID SOFIA MEZA SARMIENTO,IMC,Coordenador
PIDI251-2022,A dinâmica das órbitas periódicas da ferradura de Smale,1/8/2022,31/7/2024,Vigente,,,JUAN VALENTIN MENDOZA MOGOLLON,IMC,Coordenador
PVDI272-2022,Estudo de equações do tipo Schrödinger sobre variedades Riemannianas compactas,1/8/2022,31/7/2024,Vigente,,,MARCELO APARECIDO CABRAL NOGUEIRA,IMC,Coordenador
PIDI289-2022,Otimização Combinatória para Classificação Interpretável,1/8/2022,31/7/2024,Vigente,,,PEDRO HENRIQUE DEL BIANCO HOKAMA,IMC,Coordenador
PVDI294-2022,Estudo e pesquisa nas equações de Mathieu e de Mathieu modificada,1/8/2022,31/7/2024,Vigente,,,Ricardo Iván Medina Bascur,IMC,Coordenador
PIDI239-2022,Síntese verde de nanopartículas de dióxido de titânio para aplicação em células solares DSSC,1/8/2022,31/7/2024,Vigente,,,Adhimar Flávio Oliveira,IFQ,Coordenador
PVDI242-2022,Narrativas sobre mídias digitais e redes sociais: um olhar para a educação científica e o letramento midiático na cultura digital,1/8/2022,31/7/2024,Vigente,,,ALESSANDRA RODRIGUES,IFQ,Coordenador
PIDI236-2022,O BANCO DE SINAIS USADO COMO FERRAMENTA FACILITADORA NA APRENDIZAGEM PARA ALUNOS OUVINTES NA DISCIPLINA DE LIBRAS,1/8/2022,31/7/2024,Vigente,,,ANA CAROLINA SALES OLIVEIRA,IFQ,Coordenador
PVDI237-2022,"PROPRIEDADES ELETRÔNICAS DE SEMICONDUTORES ORGÂNICOS, DISPOSITIVOS FLEXÍVEIS E ELETRÔNICOS VESTÍVEIS",1/8/2022,31/7/2024,Vigente,,,CARLA PATRICIA LACERDA RUBINGER,IFQ,Coordenador
PVDI288-2022,"APLICAÇÃO DA QUÍMICA COMPUTACIONAL AO DESENVOLVIMENTO DE COMPOSTOS POTENCIALMENTE BIOATIVOS: planejamento racional, análise conformacional, docking e dinâmica molecular, QM/MM e investigação de orbitais de fronteira",1/8/2022,31/7/2024,Vigente,,,DANIEL HENRIQUES SOARES LEAL,IFQ,Coordenador
PVDI274-2022,Novos aceleradores de vulcanização da borracha baseados em complexos metálicos com ligantes ditiocarbimatos,1/8/2022,31/7/2024,Vigente,,,EDER DO COUTO TAVARES,IFQ,Coordenador
PIDI256-2022,"Cromismo: Estudo computacional de efeitos de misturas de solventes, temperatura e radiação.",1/8/2022,31/7/2024,Vigente,,,Juliana Fedoce Lopes,IFQ,Coordenador
PVDI281-2022,Evolução química de galáxias,1/8/2022,31/7/2024,Vigente,,,OSCAR CAVICHIA DE MORAES,IFQ,Coordenador
PIDI262-2022,Fotofísica de moléculas orgânicas,1/8/2022,31/7/2024,Vigente,,,ROBERTO SHIGUERU NOBUYASU JUNIOR,IFQ,Coordenador
PVDI235-2022,As narrativas dos professores sobre os métodos de ensino e as tramas da crise na educação básica – o ensino médio,1/8/2022,31/7/2024,Vigente,,,ROGERIO RODRIGUES,IFQ,Coordenador
PIDI293-2022,Estudo das condições de síntese de cargas vítreas do sistema B2O3-Al2O3-SiO2 para aplicações odontológicas.,1/8/2022,31/7/2024,Vigente,,,ROSSANO GIMENES,IFQ,Coordenador
PVDI301-2022,Correlação entre rota de processamento de ligas de alumínio com resistência a corrosão e a evolução de hidrogênio,1/3/2022,28/2/2025,Vigente,CNPq,"R$ 39.600,00",MIRIAN DE LOURDES NORONHA MOTTA MELO,IEM,Coordenador
PVDI300-2022,Investigação e caracterização das construções metodológicas de grupos de planejamento conjunto empreendidas por docentes do ensino superior de ciências da natureza,1/6/2022,28/2/2025,Vigente,FAPEMIG,"R$ 28.707,00",JOAO RICARDO NEVES DA SILVA,IFQ,Coordenador
PIDI299-2020,Otimização da operação de usinas hidrelétricas através da minimização das perdas no processo de geração,1/7/2022,28/2/2025,Vigente,Energia Sustentável do Brasil S/A,"R$ 2.042.312,17",GUILHERME SOUSA BASTOS,IESTI,Coordenador
PIDI305-2020,TOCO_DR Observatório de teoria da mudança em resiliência a desastres.,1/5/2020,31/12/2023,Expirado,FAPESP,"R$ 196.542,43",MARINA BATALINI DE MACEDO,IRN,Coordenador Local
PIDI309-2022,Simulação e previsão de vazões para bacias hidrográficas do Estado de Minas Gerais com base em modelo hidrológico distribuído e previsões de modelos atmosféricos,5/8/2022,5/8/2024,Vigente,FAPEMIG,"R$ 76.300,00",BENEDITO CLAUDIO DA SILVA,IFQ,Coordenador
PVDI306-2022,Proposta de Apoio à Formação de Mestres para o Fortalecimento do Programa de Pós-graduação em Engenharia Mecânica da UNIFEI,8/8/2022,31/8/2027,Vigente,FAPEMIG,"R$ 72.000,00",SANDRO METREVELLE MARCONDES DE LIMA E SILVA,IEM,Coordenador
PVDI307-2021,ESTUDO COMPREENSIVO DO TRANSPORTE RODOVIÁRIO DE CARGAS BRASILEIRO PARA AUMENTO DE EFICIÊNCIA EM UM MARKETPLACE LOGÍSTICO,7/12/2021,7/12/2023,Expirado,TRUCKPAD TECNOLOGIA E LOGÍSTICA S.A,"R$ 21.600,00",RENATO DA SILVA LIMA,IEPG,Coordenador
PIDI298-2022,COMPÓSITO POLIMÉRICO BIOINSPIRADO NO OURIÇO DA CASTANHA DO PARÁ (BERTHOLLETIA EXCELSA) DE ELEVADA TENACIDADE,25/6/2022,24/6/2025,Vigente,FAPEMIG,"R$ 18.550,28",Marília Sonego,IEM,Coordenador
PIDI311-2023,Estudo da texturização a laser na adesão de uma junta híbrida metal-compósito,13/9/2022,12/9/2025,Vigente,FAPEMIG,"R$ 65.365,86",RENATA NEVES PENHA,IEM,Coordenador
PVDI312-2022,Ensino de Ciências e Matemática mediado por tecnologias: Um estudo sobre inclusão na microrregião de Itajubá,16/3/2022,31/3/2025,Vigente,CNPq,"R$ 29.600,00",DENISE PEREIRA DE ALCANTARA FERRAZ,IFQ,Coordenador
PVDI314-2023,Aprimoramento de Cerâmicas Termoelétricas para Conversão de Energia: Aspectos Teóricos e Experimentais,1/3/2023,28/2/2026,Vigente,FAPEMIG,"R$ 94.528,68",MARIA VIRGINIA GELFUSO,IEM,Coordenador
PVDI315-2022,A Sustentabilidade da Mobilidade Urbana em Cidades Mineiras no Contexto atual e de Pós Pandemia,13/10/2022,1/1/2026,Vigente,FAPEMIG,"R$ 61.979,59",JOSIANE PALMA LIMA,IEPG,Coordenador
"PVDI316-2021
",BIG DATA E ANÁLISE ESPACIAL NA INTEGRAÇÃO DA MICROMOBILIDADE E TRANSPORTE PÚBLICO URBANO NO CONTEXTO DE SMART CITIES,23/9/2021,22/9/2025,Vigente,B2ML SISTEMAS LTDA,"R$ 32.400,00",JOSIANE PALMA LIMA,IEPG,Coordenador
PIDI319-2023,Vivência Universitária em Empreendedorismo e Inovação (VUEI) – Campus Itajubá,21/12/2022,20/12/2023,Expirado,Secretaria de Estado e Desenvolvimento Econômico de Minas Gerais - SEDE,"R$ 44.280,00",ANDREA APARECIDA DA COSTA MINEIRO,IEPG,Coordenador
PIDI317-2022,AVALIAÇÃO TEÓRICO-EXPERIMENTAL DA PRODUÇÃO E USO DE HIDROGÊNIO VERDE EM MINAS GERAIS,9/6/2022,9/6/2025,Vigente,FAPEMIG,"R$ 1.265.983,00",JOSE CARLOS ESCOBAR PALACIO,IEPG,Coordenador
PVDI328-2022,Integração de sistema hibrido Heliotérmico-Biomassa visando o uso de sistemas armazenamento de energia,7/12/2022,31/12/2026,Vigente,CNPq,"R$ 751.400,00",VLADIMIR RAFAEL MELIAN COBAS,IEM,Coordenador
PIDI327-2022,Materiais Poliméricos Associados à Lantanídeos: Aplicações em Materiais Inteligentes,7/12/2022,7/2/2025,Vigente,FAPEMIG,"R$ 978.995,08",FREDERICO BARROS DE SOUSA,IFQ,Coordenador
PVDI331-2022,Laboratório Nacional para Estudos Micrometeorológicos e Metodológicos Aplicado ao Aproveitamento Energético Offshore (LabWind),16/12/2022,31/12/2026,Vigente,CNPq,"R$ 680.000,00",ARCILAN TREVENZOLI ASSIREU,IRN,Coordenador
PVDI347-2023,Investigando a massa de aglomerados abertos com GAIA DR3,1/3/2023,28/2/2026,Vigente,CNPq,"R$ 39.600,00",HEKTOR STHENOS ALVES MONTEIRO,IFQ,Coordenador
PVDI346-2023,Projeto de Otimização de Turbina Axial de Ultra Baixa Queda,11/12/2022,31/12/2026,Vigente,CNPq,"R$ 503.900,00",RAMIRO GUSTAVO RAMIREZ CAMACHO,IEM,Coordenador
PVDI348-2021,Desenvolvimento de Dispositivos CMOS de Baixo Consumo e Baixa Potência para Aplicações Médicas,1/3/2021,28/2/2025,Vigente,CNPq,"R$ 48.000,00",ROBSON LUIZ MORENO,IESTI,Coordenador
PVDI353-2023,Estudo e simulação de módulo de gerenciamento energético para sistema de produção de H2,4/7/2022,4/5/2024,Vigente,Instituto GNARUS,"R$ 88.000,00",ROBSON BAUWELZ GONZATTI,IESTI,Coordenador
PVDI349-2022,Pesquisa e Desenvolvimento de um Sistema Integrado de Aquisição de Sinais de EEG em CMOS,1/3/2022,28/2/2025,Vigente,CNPq,"R$ 39.600,00",TALES CLEBER PIMENTA,IESTI,Coordenador
PVDI352-2022,GERAÇÃO DE ELETRICIDADE A PARTIR DA GASEIFICAÇÃO DE LODO SANITÁRIO E ENERGIA SOLAR TÉRMICA,1/3/2022,28/2/2025,Vigente,CNPq,"R$ 39.600,00",OSVALDO JOSE VENTURINI,IEM,Coordenador
PVDI350-2023,Desenvolvimento de um Dispositivo Eletrônico com Sistema Especialista Embarcado para Aquisição e Análise de Diagnóstico de Sinais Eletromecânicos.,3/10/2022,3/10/2023,Expirado,NEPEN,"R$ 81.000,00",RAMIRO GUSTAVO RAMIREZ CAMACHO,IEM,Coordenador
PVDI357-2022,Uso da Inteligência Artificial Aplicada ao Projeto Mecânico,9/12/2022,31/12/2023,Expirado,CNPq,"R$ 10.000,00",GUILHERME FERREIRA GOMES,IEM,Coordenador
PVDI358-2022,Monitoramento da integridade estrutural: detecção e identificação de delaminações em estruturas aeronáuticas por meio decorrelação digital de imagens,18/11/2022,17/11/2025,Vigente,CNPq,"R$ 380.000,00",GUILHERME FERREIRA GOMES,IEM,Coordenador
PVDI359-2023,Técnicas Avançadas de Otimização Mono e Multiobjetivo Aplicadas ao Projeto de Estruturas Mecânica,1/3/2023,28/2/2026,Vigente,CNPq,"R$ 39.600,00",GUILHERME FERREIRA GOMES,IEM,Coordenador
PVDI369-2023,Reciclagem do aço Vanadis 8 pelo processo de metalurgia do pó utilizando a moagem de alta energia,1/3/2023,28/2/2026,Vigente,CNPq,"R$ 39.600,00",GILBERT SILVA,IEM,Coordenador
PVDI378-2023,Modelos análogos da gravitação e ondas gravitacionais,1/3/2023,28/2/2026,Vigente,CNPq,"R$ 39.600,00",EDUARDO HENRIQUE SILVA BITTENCOURT,IFQ,Coordenador
PVDI381-2023,Logística e Transportes: Da Sustentabilidade para a Economia Circular,1/3/2023,28/2/2027,Vigente,CNPq,"R$ 115.200,00",RENATO DA SILVA LIMA,IEPG,Coordenador
PIDI382-2020,Análise Econômica de Decisões e de Risco na seleção de projetos de geração de energia renovável na matriz de energia elétrica brasileira,1/3/2021,28/2/2024,Vigente,CNPq,"R$ 39.600,00",EDSON DE OLIVEIRA PAMPLONA,IEPG,Coordenador
PVDI386-2022,Desenvolvimento de materiais e processos para impressão 3D de peças em compósito fibra de carbono contínuo/termoplástico de qualidade aeronáutica,6/12/2022,31/12/2025,Vigente,CNPq,"R$ 746.400,00",ANTONIO CARLOS ANCELOTTI JUNIOR,IEM,Coordenador
PIDI391-2023,"IMPACTOS DA BIOINCRUSTAÇÃO DE Limnoperna fortunei (DUNKER, 1857) NA GERAÇÃO HIDRELÉTRICA BRASILEIRA",1/3/2023,28/2/2027,Vigente,CNPq,"R$ 67.200,00",CARLOS BARREIRA MARTINEZ,IEM,Coordenador
PVDI361-2023,Análise de viabilidade de projeto e implementação de processadores RISC-V em FPGA,1/6/2023,31/5/2026,Vigente,,,GUSTAVO DELLA COLLETTA,IESTI,Coordenador
PVDI363-2023,"Estudo e implementação de balanceamento ""sensorless"" das tensões de submódulos em topologias modulares multiníveis",1/6/2023,31/5/2026,Vigente,,,WILSON CÉSAR SANT`ANA,IESTI,Coordenador
PVDI368-2023,Desenvolvimento de sistemas de modulação com alta eficiência para comunicações de longas distâncias,1/6/2023,31/5/2026,Vigente,,,DECIO RENNO DE MENDONCA FARIA,IESTI,Coordenador
PIDI372-2023,Investigação de limites teóricos na multiplicação de matrizes com enfoque em geometria algébrica e aprendizado de máquina,1/6/2023,31/5/2026,Vigente,,,RICK ANTONIO RISCHTER,IMC,Coordenador
PIDI374-2023,Avaliação de risco ambiental de contaminantes presentes na água e no solo: Uma abordagem integrativa e ecologicamente relevante,1/6/2023,31/5/2026,Vigente,,,DANIEL CLEMENTE VIEIRA REGO DA SILVA,IRN,Coordenador
PVDI408-2022,Correlação entre rota de processamento de ligas de alumínio com resistência a corrosão e a evolução de hidrogênio - APQ 01318-22,20/9/2022,22/9/2025,Vigente,FAPEMIG,"R$ 79.606,00",MIRIAN DE LOURDES NORONHA MOTTA MELO,IEM,Coordenador
PVDI407-2023,"Projeto e desenvolvimento de um equipamento para preparação de substratos para produção de cogumelos, com ênfase nos princípios da economia circular (EC) e projeto para manufatura e montagem (DFMA) - Chamada CNPq Nº 08/2022 – Bolsa de Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora - DT",1/3/2023,27/2/2026,Vigente,CNPq,"R$ 39.600,00",CARLOS HENRIQUE PEREIRA MELLO,IEPG,Coordenador
PVDI362-2023,Análise da relação do envelhecimento do para-raios sobre a distância elétrica de proteção,1/6/2023,31/5/2026,Vigente,,,CREDSON DE SALLES,ISEE,Coordenador
PVDI333-2023,Aprimoramento dos geradores de impulso do LAT-EFEI,1/6/2023,31/5/2026,Vigente,,,ESTACIO TAVARES WANDERLEY NETO,ISEE,Coordenador
PVDI336-2023,"REGIONALIDADES, ECONOMIA E CULTURA: Reflexões sobre o desenvolvimento do território do Sul de Minas Gerais",1/6/2023,31/5/2026,Vigente,,,CARLOS ALBERTO MAXIMO PIMENTA,IEPG,Coordenador
PVDI337-2023,"Agricultura familiar e desenvolvimento rural no sul de Minas: expressividade sócio econômica, gestão e políticas públicas",1/6/2023,31/5/2026,Vigente,,,VIVIANE GUIMARAES PEREIRA,IEPG,Coordenador
PIDI411-2022,"BENEFÍCIOS DA IMPLEMENTAÇÃO TÉCNICAS COMPENSATÓRIAS NA MITIGAÇÃO DOS PROBLEMAS CAUSADOS PELAS MUDANÇAS CLIMÁTICAS, ATRAVÉS DA GESTÃO DOS ASPECTOS QUALI-QUANTITATIVOS DA DRENAGEM URBANA NO MUNICÍPIO DE CURITIBA – PARANÁ - BRASIL",26/12/2022,31/5/2026,Vigente,CNPq,"R$ 408,000,00",MARINA BATALINI DE MACEDO,IRN,Coordenador Local
PVDI409-2023,AVANÇOS TECNOLÓGICOS E APOIO À DECISÃO - DESAFIOS E OPORTUNIDADES PARA A MOBILIDADE URBANA SUSTENTÁVEL E INTELIGENTE,1/3/2023,28/2/2026,Vigente,CNPq,"R$ 39.600,00",JOSIANE PALMA LIMA,IEPG,Coordenador
PIDI364-2023,Análise de componentes metálicos submetidos ao processo de roleteamento externo.,1/6/2023,31/5/2026,Vigente,,,JEAN CARLO CESCON PEREIRA,IEM,Coordenador
PIDI344-2023,PREPARO DE LIPOSSOMAS CONTENDO VANCOMICINA E CIPROFLOXACINA: POTENCIAL ATIVIDADE ANTIMICROBIANA E ANTIBIOFILME PARA TRATAMENTO DE FERIDAS,1/6/2023,31/5/2026,Vigente,,,DANIELA SACHS,IFQ,Coordenador
PVDI366-2023,Efeito de Fotocondutividade em nano-filmes de Isolante Topológico Bi2Te3,1/6/2023,31/5/2026,Vigente,,,SUELEN DE CASTRO,IFQ,Coordenador
PVDI370-2023,A Abordagem Temática na Educação em Ciências: possibilidades para a inserção das questões socioambientais na Educação Básica,1/6/2023,31/5/2026,Vigente,,,DANIELLE APARECIDA REIS LEITE,IFQ,Coordenador
PVDI417-2022,"SÍNTESE, CARACTERIZAÇÃO, AVALIAÇÃO IN VITRO, IN VIVO E ESTUDOS IN SÍLICO DE NOVOS DERIVADOS DO PROTÓTIPO GIB24: POTENCIAIS AGENTES CONTRA A DOENÇA DE CHAGAS",12/9/2022,12/9/2025,Vigente,FAPEMIG,"R$ 176.419,86",MAURICIO FROTA SARAIVA,IFQ,Coordenador
PVDI302-2022,Modelagem Numérica da Transferência de calor em Dissipadores e de Sistemas Bifásicos Microfluídicos,6/5/2022,6/5/2025,Vigente,FAPEMIG,"R$ 24.360,00",ANA LUCIA FERNANDES DE LIMA E SILVA,IEM,Coordenador
PVDI421-2022,IMPACTOS ECONÔMICOS DA GERAÇÃO SOLAR FOTOVOLTAICA DISTRIBUÍDA NO ESTADO DE MINAS GERAIS: UMA ABORDAGEM DE MODELAGEM INTER-REGIONAL DE EQUILÍBRIO GERAL COMPUTÁVEL,22/6/2022,22/6/2025,Vigente,FAPEMIG,"R$1.275.345,72",VICTOR EDUARDO DE MELLO VALERIO,IEPG,Coordenador
PVDI410-2022,Estudos integrados sobre Desenvolvimento Urbano e Tecnologias Sociais no contexto de cidades inteligentes e sustentáveis,1/11/2022,1/3/2026,Vigente,CAPES,,JOSIANE PALMA LIMA,IEPG,Coordenador
PVDI393-2023,Integração da Inteligência Artificial com a Simulação Baseada em Agentes,1/8/2023,31/7/2026,Vigente,,,ALEXANDRE FERREIRA DE PINHO,IEPG,Coordenador
PVDI383-2023,"AVALIAÇÃO DO NÍVEL DE ALFABETIZAÇÃO FINANCEIRA DA COMUNIDADE ACADÊMICA DE UM INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA",1/8/2023,31/7/2026,Vigente,,,ANDRE LUIZ MEDEIROS,IEPG,Coordenador
PVDI387-2023,ECONOMIA CIRCULAR NA CADEIA DE SUPRIMENTOS: UMA ABORDAGEM MULTIMÉTODOS,1/8/2023,31/7/2026,Vigente,,,JENIFFER DE NADAE,IEPG,Coordenador
PIDI400-2023,Elaboração e condução do Planejamento Estratégico das atividades desenvolvidas por Programas de Educação Tutorial (PET) UNIFEI – Campus Itajubá,1/8/2023,31/7/2026,Vigente,,,JULIANA HELENA DAROZ GAUDENCIO,IEPG,Coordenador
PIDI388-2023,Reciclagem de aparas não-curadas de pré-impregnados de epóxi e fibra de carbono,1/8/2023,31/7/2026,Vigente,,,MARILIA SONEGO,IEM,Coordenador
PVDI396-2023,Simulação Numérica de Escoamentos com Efeitos Combinados de Rugosidade Superficial e Transferência de Calor por Convecção Mista,1/8/2023,31/7/2026,Vigente,,,LUIZ ANTONIO ALCANTARA PEREIRA,IEM,Coordenador
PIDI403-2023,Soluções ópticas para sistemas repetidores de RF em frequência única,1/8/2023,31/7/2026,Vigente,,,RAMON MAIA BORGES,IESTI,Coordenador
PVDI384-2023,Implementação de Circuitos Neuromórficos Digitais utilizando a Arquitetura Extreme Learning Machine,1/8/2023,31/7/2026,Vigente,,,GABRIEL ANTONIO FANELLI DE SOUZA,IESTI,Coordenador
PIDI380-2023,Planejamento e Síntese de Derivados Heterocíclicos para Avaliação de Atividades Antiprotozoárias,1/8/2023,31/7/2026,Vigente,,,MAURICIO SILVA DOS SANTOS,IFQ,Coordenador
PVDI394-2023,Conversas com um cientista: encontros de alunos do ensino básico regular com um pesquisador da área de ciência dos materiais.,1/8/2023,31/7/2026,Vigente,,,NEWTON DE FIGUEIREDO FILHO,IFQ,Coordenador
PVDI376-2023,"MENINAS E MULHERES COM DEFICIÊNCIA: EDUCAÇÃO, CIÊNCIA E TECNOLOGIA",1/8/2023,31/7/2026,Vigente,,,PALOMA ALINNE ALVES RODRIGUES,IFQ,Coordenador
PIDI401-2023,"Desenvolvimento de Jogos Educativos para o Ensino de Lógica e Fundamentos de Programação: uma Abordagem com Foco no Game Design, no Entretenimento e no Conteúdo Pedagógico",1/8/2023,31/7/2026,Vigente,,,PHYLLIPE DE SOUZA LIMA FRANCISCO,IMC,Coordenador
PIDI404-2023,Café para todos: um estudo sobre a disponibilização de dados para apoiar a tomada de decisão no ciclo produtivo do café,1/8/2023,31/7/2026,Vigente,,,MELISE MARIA VEIGA DE PAULA,IMC,Coordenador
PVDI406-2023,Um estudo da transferência de aprendizado empregando modelos de aprendizado profundo,1/8/2023,31/7/2026,Vigente,,,ISABELA NEVES DRUMMOND,IMC,Coordenador
PVDI415-2023,Implementação de resultados de Pesquisas em Resolução e Proposição de Problemas: parcerias de coaprendizagem na formação de professores de matemática.,1/8/2023,31/7/2026,Vigente,,,FLAVIA SUELI FABIANI MARCATTO,IMC,Coordenador
PIDI392-2023,UTILIZAÇÃO DA LIGNINA COMO PLATAFORMA QUÍMICA PARA OBTENÇÃO DE PRODUTOS COM VALOR AGREGADO,1/8/2023,31/7/2026,Vigente,,,JOSE RENATO GUIMARAES,IRN,Coordenador
PIDI402-2023,Modelagem e simulação por fluidodinâmica computacional do processo de secagem de biomassas,1/8/2023,31/7/2026,Vigente,,,MAXIMILIAN JOACHIM HODAPP,IRN,Coordenador
PVDI377-2023,Microbiologia aplicada a trilhas ecológicas: bioindicadores e funcionalidade de ecossistemas,1/8/2023,31/7/2026,Vigente,,,ROGERIO MELLONI,IRN,Coordenador
PVDI385-2023,Qualidade dos Estudos de Impacto Ambiental e a preservação da qualidade ambiental,1/8/2023,31/7/2026,Vigente,,,MARIA RITA RAIMUNDO E ALMEIDA,IRN,Coordenador
PVDI399-2023,Investigação dos Impactos 3D nos Sistemas Elétricos Brasileiros,1/8/2023,31/7/2026,Vigente,,,Cláudia Eliane da Matta,ISEE,Coordenador
PVDI426-2023,PREVISÃO DE PARÂMETROS ESTRUTURAIS E DE CUSTO DE MODELOS FABRICADOS VIA MANUFATURA ADITIVA POR MEIO DE TÉCNICAS DE DEEP LEARNING,7/8/2023,7/8/2027,Vigente,FAPEMIG,"R$ 138.828,76",MATHEUS BRENDON FRANCISCO,IEPG,Coordenador
PVDI429-2023,Produção de H2 Verde em escala de laboratório a partir de sistemas solares FV e Testes Experimentais dual-fuel em motor multicilíndrico usando H2 Verde e HVO (diesel verde) importado e/ou produzido em laboratório,5/8/2023,5/8/2027,Vigente,FAPEMIG,"R$ 262.005,76",CHRISTIAN JEREMI CORONADO RODRIGUEZ,IEM,Coordenador
PVDI449-2023,ESTUDOS EM MECÂNICA CELESTE: CONFIGURAÇÕES CENTRAIS E O PROBLEMA DE N CORPOS,11/10/2023,9/10/2026,Vigente,FAPEMIG,"R$ 99.279,60",LUIS FERNANDO DE OSORIO MELLO,IMC,Coordenador
PVDI450-2023,Modelos análogos em meios óticos,1/3/2023,28/2/2026,Vigente,CNPq,"R$ 39.600,00",VITORIO ALBERTO DE LORENCI,IFQ,Coordenador
PVDI451-2023,Dinâmica e ruptura de bolhas de hidrogênio em microcanais com junções em T e em Y,22/8/2023,21/8/2025,Vigente,FAPEMIG,"R$ 170.320,00",ANA LUCIA FERNANDES DE LIMA E SILVA,IEM,Coordenador
PIDI422-2023,Mapeamento da cafeicultura do Sul de Minas utilizando dados do Brazil Data Cube e Inteligência Artificial,1/11/2023,31/10/2026,Vigente,,,VANESSA CRISTINA OLIVEIRA DE SOUZA,IMC,Coordenador
PVDI431-2023,Órbitas periódicas e toros invariantes em R^N,1/11/2023,31/10/2026,Vigente,,,BRAULIO AUGUSTO GARCIA,IMC,Coordenador
PIDI423-2023,Desenvolvimento de uma ferramenta de aprendizado de máquina baseada em k-mer para identificação de genomas de arbovírus,1/11/2023,31/10/2026,Vigente,,,LUIZ CARLOS BERTUCCI BARBOSA,IRN,Coordenador
PIDI428-2023,Controle de Emissões de Sistemas de Esgoto: Telhado Verde Fotovoltaico para Cidade Resiliente e Sustentável,1/11/2023,31/10/2026,Vigente,,,HERLANE COSTA CALHEIROS,IRN,Coordenador
